Airtable UUID,Total_Covered_Lives,Weight_Rank_1_to_5
CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S,35242,2
CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T,35242,2
CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe,35242,2
CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty,35242,2
CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan,35242,2
CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar,35242,2
CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G,35242,2
CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven,35242,2
CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan,35242,2
CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar,35242,2
CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic,35242,2
CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe,35242,2
CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National ,35242,2
CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National ,35242,2
CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National ,35242,2
CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National ,35242,2
CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ,35242,2
CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National ,46945,3
CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P,46945,3
CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage,46945,3
CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav,46945,3
CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan,46945,3
CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty,46945,3
CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T,46945,3
CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S,46945,3
CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard ,46945,3
CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty,46945,3
CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan,46945,3
CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P,46945,3
CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard ,46945,3
CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage,46945,3
CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P,46945,3
CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S,46945,3
CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T,46945,3
CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe,46945,3
CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty,46945,3
CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan,46945,3
CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar,46945,3
CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G,46945,3
CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven,46945,3
CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan,46945,3
CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar,46945,3
CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic,46945,3
CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe,46945,3
CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National ,46945,3
CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National ,46945,3
CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National ,46945,3
CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National ,46945,3
CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ,46945,3
CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National ,1174017,5
CHIR_IDrecSGoB9fMDWK7rxb-199852-FLCigna Rx Plus 5,1174017,5
CHIR_IDrecd4qtuaL8eFOiQO-315721-FLCigna Plus 4-Ti,1174017,5
CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P,1174017,5
CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage,1174017,5
CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav,1174017,5
CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan,1174017,5
CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty,1174017,5
CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T,1174017,5
CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S,1174017,5
CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard ,1174017,5
CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty,1174017,5
CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan,1174017,5
CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P,1174017,5
CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard ,1174017,5
CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage,1174017,5
CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P,1174017,5
CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S,1174017,5
CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T,1174017,5
CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe,1174017,5
CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty,1174017,5
CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan,1174017,5
CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar,1174017,5
CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G,1174017,5
CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven,1174017,5
CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan,1174017,5
CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar,1174017,5
CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic,1174017,5
CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe,1174017,5
CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National ,1174017,5
CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National ,1174017,5
CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National ,1174017,5
CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National ,1174017,5
CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ,1174017,5
CHIR_IDrecXKPcpVxGYyghZt-301923-GAOscar and Cigna,586917,5
CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National ,586917,5
CHIR_IDrecHyYRqsK42c4Ufu-290261-GACigna Plus 5-Ti,586917,5
CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P,586917,5
CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage,586917,5
CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav,586917,5
CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan,586917,5
CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty,586917,5
CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T,586917,5
CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S,586917,5
CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard ,586917,5
CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty,586917,5
CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan,586917,5
CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P,586917,5
CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard ,586917,5
CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage,586917,5
CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P,586917,5
CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S,586917,5
CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T,586917,5
CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe,586917,5
CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty,586917,5
CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan,586917,5
CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar,586917,5
CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G,586917,5
CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven,586917,5
CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan,586917,5
CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar,586917,5
CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic,586917,5
CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe,586917,5
CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National ,586917,5
CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National ,586917,5
CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National ,586917,5
CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National ,586917,5
CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ,586917,5
CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National ,58701,3
CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P,58701,3
CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage,58701,3
CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav,58701,3
CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan,58701,3
CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty,58701,3
CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T,58701,3
CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S,58701,3
CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard ,58701,3
CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty,58701,3
CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan,58701,3
CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P,58701,3
CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard ,58701,3
CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage,58701,3
CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P,58701,3
CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S,58701,3
CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T,58701,3
CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe,58701,3
CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty,58701,3
CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan,58701,3
CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar,58701,3
CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G,58701,3
CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven,58701,3
CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan,58701,3
CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar,58701,3
CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic,58701,3
CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe,58701,3
CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National ,58701,3
CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National ,58701,3
CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National ,58701,3
CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National ,58701,3
CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ,58701,3
CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National ,93971,4
CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P,93971,4
CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage,93971,4
CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav,93971,4
CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan,93971,4
CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty,93971,4
CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T,93971,4
CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S,93971,4
CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard ,93971,4
CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty,93971,4
CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan,93971,4
CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P,93971,4
CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard ,93971,4
CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage,93971,4
CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P,93971,4
CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S,93971,4
CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T,93971,4
CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe,93971,4
CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty,93971,4
CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan,93971,4
CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar,93971,4
CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G,93971,4
CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven,93971,4
CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan,93971,4
CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar,93971,4
CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic,93971,4
CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe,93971,4
CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National ,93971,4
CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National ,93971,4
CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National ,93971,4
CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National ,93971,4
CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ,93971,4
CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National ,53996,3
CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P,53996,3
CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage,53996,3
CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav,53996,3
CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan,53996,3
CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty,53996,3
CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T,53996,3
CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S,53996,3
CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard ,53996,3
CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty,53996,3
CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan,53996,3
CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P,53996,3
CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard ,53996,3
CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage,53996,3
CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P,53996,3
CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S,53996,3
CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T,53996,3
CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe,53996,3
CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty,53996,3
CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan,53996,3
CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar,53996,3
CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G,53996,3
CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven,53996,3
CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan,53996,3
CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar,53996,3
CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic,53996,3
CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe,53996,3
CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National ,53996,3
CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National ,53996,3
CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National ,53996,3
CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National ,53996,3
CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ,53996,3
CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National ,58461,3
CHIR_IDrec1IHz2OOJpSBvYd-315723-ILCigna Plus 4-Ti,58461,3
CHIR_IDrectUEMNRDRT1oaFG-199853-ILCigna Rx Plus 5,58461,3
CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P,58461,3
CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage,58461,3
CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav,58461,3
CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan,58461,3
CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty,58461,3
CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T,58461,3
CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S,58461,3
CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard ,58461,3
CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty,58461,3
CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan,58461,3
CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P,58461,3
CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard ,58461,3
CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage,58461,3
CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P,58461,3
CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S,58461,3
CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T,58461,3
CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe,58461,3
CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty,58461,3
CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan,58461,3
CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar,58461,3
CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G,58461,3
CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven,58461,3
CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan,58461,3
CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar,58461,3
CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic,58461,3
CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe,58461,3
CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National ,58461,3
CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National ,58461,3
CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National ,58461,3
CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National ,58461,3
CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ,58461,3
CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National ,35231,2
CHIR_IDrecsjld1rrbq7890t-315724-INCigna Premiere ,35231,2
CHIR_IDrecubku9V573IgvWv-315717-INCigna Premiere ,35231,2
CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P,35231,2
CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage,35231,2
CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav,35231,2
CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan,35231,2
CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty,35231,2
CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T,35231,2
CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S,35231,2
CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard ,35231,2
CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty,35231,2
CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan,35231,2
CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P,35231,2
CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard ,35231,2
CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage,35231,2
CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P,35231,2
CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S,35231,2
CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T,35231,2
CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe,35231,2
CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty,35231,2
CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan,35231,2
CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar,35231,2
CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G,35231,2
CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven,35231,2
CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan,35231,2
CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar,35231,2
CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic,35231,2
CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe,35231,2
CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National ,35231,2
CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National ,35231,2
CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National ,35231,2
CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National ,35231,2
CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ,35231,2
CHIR_IDrecxQnO4owR1lVQM4-301931-KSOscar and Cigna,117329,4
CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National ,117329,4
CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P,117329,4
CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage,117329,4
CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav,117329,4
CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan,117329,4
CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty,117329,4
CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T,117329,4
CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S,117329,4
CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard ,117329,4
CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty,117329,4
CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan,117329,4
CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P,117329,4
CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard ,117329,4
CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage,117329,4
CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P,117329,4
CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S,117329,4
CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T,117329,4
CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe,117329,4
CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty,117329,4
CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan,117329,4
CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar,117329,4
CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G,117329,4
CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven,117329,4
CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan,117329,4
CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar,117329,4
CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic,117329,4
CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe,117329,4
CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National ,117329,4
CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National ,117329,4
CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National ,117329,4
CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National ,117329,4
CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ,117329,4
CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National ,98615,4
CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P,98615,4
CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage,98615,4
CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav,98615,4
CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan,98615,4
CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty,98615,4
CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T,98615,4
CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S,98615,4
CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard ,98615,4
CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty,98615,4
CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan,98615,4
CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P,98615,4
CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard ,98615,4
CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage,98615,4
CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P,98615,4
CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S,98615,4
CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T,98615,4
CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe,98615,4
CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty,98615,4
CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan,98615,4
CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar,98615,4
CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G,98615,4
CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven,98615,4
CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan,98615,4
