Airtable UUID,Total_Covered_Lives,Weight_Rank_1_to_5
CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven,16398,2
CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan,16398,2
CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar,16398,2
CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic,16398,2
CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe,16398,2
CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National ,16398,2
CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National ,16398,2
CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National ,16398,2
CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National ,16398,2
CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ,16398,2
CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National ,102118,4
CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P,102118,4
CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage,102118,4
CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav,102118,4
CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan,102118,4
CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty,102118,4
CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T,102118,4
CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S,102118,4
CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard ,102118,4
CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty,102118,4
CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan,102118,4
CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P,102118,4
CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard ,102118,4
CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage,102118,4
CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P,102118,4
CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S,102118,4
CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T,102118,4
CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe,102118,4
CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty,102118,4
CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan,102118,4
CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar,102118,4
CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G,102118,4
CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven,102118,4
CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan,102118,4
CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar,102118,4
CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic,102118,4
CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe,102118,4
CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National ,102118,4
CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National ,102118,4
CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National ,102118,4
CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National ,102118,4
CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ,102118,4
CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National ,97360,4
CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P,97360,4
CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage,97360,4
CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav,97360,4
CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan,97360,4
CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty,97360,4
CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T,97360,4
CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S,97360,4
CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard ,97360,4
CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty,97360,4
CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan,97360,4
CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P,97360,4
CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard ,97360,4
CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage,97360,4
CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P,97360,4
CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S,97360,4
CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T,97360,4
CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe,97360,4
CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty,97360,4
CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan,97360,4
CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar,97360,4
CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G,97360,4
CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven,97360,4
CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan,97360,4
CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar,97360,4
CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic,97360,4
CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe,97360,4
CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National ,97360,4
CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National ,97360,4
CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National ,97360,4
CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National ,97360,4
CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ,97360,4
CHIR_IDrec8XHi8XHpAmgl09-301799-AZOscar and Cigna,352125,5
CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National ,352125,5
CHIR_IDrec7AIzuLz4CznuBE-315720-AZCigna Premiere ,352125,5
CHIR_IDrec1TkkGpQ2uF6bDK-199850-AZCigna Rx Premie,352125,5
CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P,352125,5
CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage,352125,5
CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav,352125,5
CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan,352125,5
CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty,352125,5
CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T,352125,5
CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S,352125,5
CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard ,352125,5
CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty,352125,5
CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan,352125,5
CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P,352125,5
CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard ,352125,5
CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage,352125,5
CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P,352125,5
CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S,352125,5
CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T,352125,5
CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe,352125,5
CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty,352125,5
CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan,352125,5
CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar,352125,5
CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G,352125,5
CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven,352125,5
CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan,352125,5
CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar,352125,5
CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic,352125,5
CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe,352125,5
CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National ,352125,5
CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National ,352125,5
