Document Title,Payer,Market Segment,Number of Approved CGMs,UUID_dupe,Cross-Payer Grouping A,Cross-Payer Grouping B,New Market Segment(s),Plan Tier Number
High Value Plan Pharmacy Drug Guide (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecWyRLfsUD17fvVs-229630-AKHigh Value Plan,"Aetna, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
High Value Preventive Medicine List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecvK6UAJOwA0HfzU-137227-AKHigh Value Prev,"Aetna, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Individual Health Exchange Plan Pharmacy Drug Guide (CA Health Plan),Aetna,Individual,Two - Three,CHIR_IDrecpOvrFVHJ7v9mDq-315119-CAIndividual Heal,"Aetna, Individual and Family Plan, 2-3 CGMs Covered","Non-Tiered Plan, Individual and Family Plan",Individual and Family Plan,Non-Tiered Plan
Innovation Health Advanced Control Plan Pharmacy Drug Guide (Health Plan),Aetna,Unclear,Eight - Nine,CHIR_IDrecOWUWJx5ffH4yNI-300609-AKInnovation Heal,"Aetna, Unclear, 8-9 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Innovation Health Exchange Plan Pharmacy Drug Guide (Health Plan),Aetna,Individual,Two - Three,CHIR_IDrecHko6ZGW6eiN8JH-300601-AKInnovation Heal,"Aetna, Individual and Family Plan, 2-3 CGMs Covered","Non-Tiered Plan, Individual and Family Plan",Individual and Family Plan,Non-Tiered Plan
Innovation Health Standard Opt Out Plan Pharmacy Drug Guide (Health Plan),Aetna,Unclear,Six - Seven,CHIR_IDrec332gsNO6pxm0mS-300610-AKInnovation Heal,"Aetna, Unclear, 6-7 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Innovation Health Standard Opt Out Plan with ACSF Pharmacy Drug Guide (Health Plan),Aetna,Unclear,Six - Seven,CHIR_IDrec6d3N09C8zha8jy-310578-AKInnovation Heal,"Aetna, Unclear, 6-7 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Innovation Health Standard Plan Pharmacy Drug Guide (Health Plan),Aetna,Unclear,Eight - Nine,CHIR_IDrec7Lt5WEYdrxgA8Y-310574-AKInnovation Heal,"Aetna, Unclear, 8-9 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
New Jersey Educators Health Plan Formulary (Health Plan),Aetna,State employee plan,Two - Three,CHIR_IDrec9ghBDY96gYPxhh-290179-NJNew Jersey Educ,"Aetna, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Standard Control Choice Formulary Exclusions Drug List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecWrNSoA1TzEM39M-340822-AKStandard Contro,"Aetna, Unclear, 2-3 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
