Document Title,Payer,Market Segment,Number of Approved CGMs,UUID_dupe,Cross-Payer Grouping A,Cross-Payer Grouping B,New Market Segment(s),Plan Tier Number
Essential Drug List 4-Tier (Commercial) (VA),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrec0VePKLGl0e98Ss-190515-COEssential Drug ,"Anthem, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Essential Drug List 4-Tier (DMHC) (CA),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecP45GzDvaYEr7g8-233751-CAEssential Drug ,"Anthem, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Essential Drug List 5-Tier (CDI) (CA),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrect5N36Up0y9P9yX-233760-AKEssential Drug ,"Anthem, Small & Large Group, 6-7 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
Essential Drug List 5-Tier (DMHC),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecBl5wgVra8ft3gd-233803-CAEssential Drug ,"Anthem, Small & Large Group, 6-7 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
Essential Drug List 5-Tier (DMHC) (CA),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecMk2TmkON6M2SmG-233761-CAEssential Drug ,"Anthem, Small & Large Group, 6-7 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
Essential Five Tier Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecHcFyhRatGtPGP6-340167-CTEssential Five ,"Anthem, Small & Large Group, 6-7 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
Essential Four Tier Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecVgqiEQTkZt7JRc-340166-CTEssential Four ,"Anthem, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Essential Three Tier Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrec0MkZusHHkMr4jb-340165-CTEssential Three,"Anthem, Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Five Tier Essential Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDreceQAecBbbZXa6I1-313029-CTFive Tier Essen,"Anthem, Small & Large Group, 6-7 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
Five Tier National Drug List (CA Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrectTF5Y1RSRtQfIp-313150-CAFive Tier Natio,"Anthem, Small & Large Group, 6-7 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
Four Tier Essential Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrechifPzNpLjkFlsq-313028-CTFour Tier Essen,"Anthem, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Four Tier National Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDreckEx3rxaApMtK54-313032-CTFour Tier Natio,"Anthem, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Fully-Insured Essential 3-Tier Drug List (NY Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecTm4D0L4vbQccxw-229501-CTFully-Insured E,"Anthem, Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Fully-Insured National 3-Tier Drug List (NY Health Plan),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDreclOhNGEKUtwVzZX-229506-CTFully-Insured N,"Anthem, Small & Large Group, 10+ CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Fully-Insured Traditional Open 3-Tier Drug List Without Contraceptives (NY),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrec3uBgqqUpg1CjX7-290137-NYFully-Insured T,"Anthem, Small & Large Group, 10+ CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Generic Premium Drug List (CDI) (CA),Anthem,Unclear,,CHIR_IDrec8Nwn6tn7KNZaQX-233856-AKGeneric Premium,"Anthem, Unclear, nan CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Generic Premium Drug List (DHMC) (CA),Anthem,Unclear,,CHIR_IDrecXxthQSq5ngqXX5-233864-CAGeneric Premium,"Anthem, Unclear, nan CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Legacy National Direct PreventiveRx Drug List (Health Plan),Anthem,Unclear,,CHIR_IDrecSOuDyWN2WCxTLN-313047-AKLegacy National,"Anthem, Unclear, nan CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
National 3-Tier Drug List for Fully-Insured Members (NY),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrecuCte7WtJTdFadr-137002-NYNational 3-Tier,"Anthem, Small & Large Group, 10+ CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
National Closed Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Four - Five,CHIR_IDrecBD0sIDvrSaHGJm-340171-CTNational Closed,"Anthem, Small & Large Group, 4-5 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
National Direct 3-Tier Drug List (ABCBS),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecXNOK8iyYy39cSN-263415-CONational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
National Direct 3-Tier Drug List (CDI),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecoqAssj0oL8ef23-263385-CANational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
National Direct 3-Tier Drug List (DMHC),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecLEGvSCkUo9YgGE-263386-CANational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
National Direct 3-Tier Drug List (NY),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecqJQaYjgHIbBClv-263421-NYNational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
National Direct 3-Tier Drug List (VA),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecheywsgArHSYjUI-263416-VANational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
National Direct 3-Tier Preferred Drug List (CT),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecoVDcf5gEN5G2HX-373011-CTNational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
National Direct 3-Tier Preferred Drug List (NY),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDreceG9jQ3V5X8k3fP-372931-NYNational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
National Direct 4-Tier Drug List (ABCBS),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecmwaqYDeJs93ngj-263417-CONational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
National Direct 4-Tier Drug List (CDI),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrec1yZ1zdLERAD2uW-263387-CANational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
National Direct 4-Tier Drug List (DMHC),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecdYXyr1Ni0KkRXO-263390-CANational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
National Direct 4-Tier Drug List (VA),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecuA93JZfKIKFbuK-263418-VANational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
National Direct 4-Tier Preferred Drug List (CT),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDreckVdQxObZq31d9z-373012-CTNational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
National Direct 4-Tier Preferred Drug List (NY),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecEZ48V9CQyGYSMd-372932-NYNational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
National Direct 5-Tier Drug List (ABCBS),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDreckuv3HC81WOMMjY-263419-CONational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
National Direct 5-Tier Drug List (CDI),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecc7TYJkd5s9UbdD-263391-CANational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
National Direct 5-Tier Drug List (DMHC),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecp2WbvWGqSjjonB-263394-CANational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
National Direct 5-Tier Drug List (VA),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDreciSSYtR1PWEFHot-263420-VANational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
National Direct 5-Tier Preferred Drug List (CT),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrec3tGCxpYP1j7LFd-373017-CTNational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
National Direct 5-Tier Preferred Drug List (NY),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecswk42IHpAEqR03-372933-NYNational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
National Direct Drug List Medication Alternatives,Anthem,"Small Group,Large Group Plans",Two - Three,CHIR_IDrecDVQ8DVtc8CNQlN-290068-AKNational Direct,"Anthem, Small & Large Group, 2-3 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
National Direct Drug List Medication Alternatives (NY),Anthem,"Small Group,Large Group Plans",Two - Three,CHIR_IDreczrqZIP5My5CWrJ-270421-NYNational Direct,"Anthem, Small & Large Group, 2-3 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
National Direct Drug List Medication Alternatives (VA),Anthem,"Small Group,Large Group Plans",Two - Three,CHIR_IDrecnYwLNBhldTco7v-290070-AKNational Direct,"Anthem, Small & Large Group, 2-3 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
National Direct Five Tier Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecrFMy3o0LqaQyMU-340174-CTNational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
National Direct Four Tier Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrectWyFr6zKuzgTAT-340173-CTNational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
National Direct Plus 3-Tier Drug List (NY Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecw7qG1zicXI3XRj-340029-NYNational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
National Direct Plus Drug List 4-Tier (Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecXjm1c2bkYh8GVy-338594-AKNational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
National Direct Plus Drug List Medication Alternatives (CA Health Plan),Anthem,"Small Group,Large Group Plans",Two - Three,CHIR_IDrectnrz975gMiN1PN-340142-CANational Direct,"Anthem, Small & Large Group, 2-3 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
National Direct Plus Drug List Medication Alternatives (Health Plan),Anthem,"Small Group,Large Group Plans",Two - Three,CHIR_IDreckw5o2p2yNIrlQU-339993-AKNational Direct,"Anthem, Small & Large Group, 2-3 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
National Direct Plus Drug List Medication Alternatives (NY Health Plan),Anthem,"Small Group,Large Group Plans",Two - Three,CHIR_IDrecd3c5iUE6VF37bu-340028-NYNational Direct,"Anthem, Small & Large Group, 2-3 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
National Direct Plus Drug List Medication Alternatives (VA Health Plan),Anthem,"Small Group,Large Group Plans",Two - Three,CHIR_IDrecanNjzLDWs4aaxd-339994-VANational Direct,"Anthem, Small & Large Group, 2-3 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
National Direct Plus Five Tier Drug List (CDI) (CA Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecIaL1Nz4fkX7Q0K-340147-CANational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
National Direct Plus Five Tier Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecG28JufdSqXQChT-340177-CTNational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
National Direct Plus Five Tier Drug List (DMHC) (CA Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecfdJ3axcW39UWRh-340148-CANational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
National Direct Plus Five Tier Drug List (Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecJLv2IArsuwF2bz-338727-AKNational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
National Direct Plus Five Tier Drug List (VA Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecM1Dvq5HoPDeJEc-338729-VANational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
National Direct Plus Four Tier Drug List (CDI) (CA Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDreceHtM6yzL9j605R-340145-CANational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
National Direct Plus Four Tier Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrec4HS3Z6DgdQikQ6-340176-CTNational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
National Direct Plus Four Tier Drug List (DMHC) (CA Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDreczS9qj7x3kMOUkQ-340146-CANational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
National Direct Plus Four Tier Drug List (VA Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDreclAUuV42FGOAApM-338726-VANational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
National Direct Plus Three Tier Drug List (CDI) (CA Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecCplNqUTNOw7Gk1-340143-CANational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
National Direct Plus Three Tier Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrec92sLOCLKDGxhdN-340175-CTNational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
National Direct Plus Three Tier Drug List (DMHC) (CA Health Plan),Anthem,"Small Group,Large Group Plans",Four - Five,CHIR_IDrecp5asgnfXgYupGn-340144-CANational Direct,"Anthem, Small & Large Group, 4-5 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
National Direct Plus Three Tier Drug List (Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecDswhJBAPd4hASh-338588-AKNational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
National Direct Plus Three Tier Drug List (VA Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecIh2zwq9h53LZ2p-338589-VANational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
National Direct Preferred Drug List Alternatives (CT),Anthem,"Small Group,Large Group Plans",Two - Three,CHIR_IDrecdF9W4Pc03Ub2sx-373010-CTNational Direct,"Anthem, Small & Large Group, 2-3 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
National Direct Preferred Drug List Alternatives (NY),Anthem,"Small Group,Large Group Plans",Two - Three,CHIR_IDrecXKms4aDDR3T7ah-372917-NYNational Direct,"Anthem, Small & Large Group, 2-3 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
National Direct Three Tier Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecKVNeqKrxgH5uVT-340172-CTNational Direct,"Anthem, Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
National Drug List 3-Tier (CDI),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrecT2AIpuXrnLWfGH-233772-AKNational Drug L,"Anthem, Small & Large Group, 10+ CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
National Drug List 3-Tier (Commercial),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrec96rkbCniGYOsad-289370-AKNational Drug L,"Anthem, Small & Large Group, 10+ CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
National Drug List 3-Tier (DMHC),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrecjXZ2HD9Z1BOEHw-233788-CANational Drug L,"Anthem, Small & Large Group, 10+ CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
National Drug List 3-Tier (VA),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrecnYV9YIEzD1fdio-229242-VANational Drug L,"Anthem, Small & Large Group, 10+ CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
National Drug List 4-Tier (CDI),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrecWT3botEub4kQTB-233794-AKNational Drug L,"Anthem, Small & Large Group, 10+ CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
National Drug List 4-Tier (Commercial),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrec3QGUETY6TDgpEX-137264-AKNational Drug L,"Anthem, Small & Large Group, 10+ CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
National Drug List 4-Tier (DMHC),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrec19Bct3rrGmwmgs-233799-CANational Drug L,"Anthem, Small & Large Group, 10+ CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
National Drug List 4-Tier (VA),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrecsoqO4qjyoFbVfG-229244-VANational Drug L,"Anthem, Small & Large Group, 10+ CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
National Drug List 5-Tier (CDI),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrecRTYlxFbF7wo0bI-233800-AKNational Drug L,"Anthem, Small & Large Group, 10+ CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
National Drug List 5-Tier (Health Plan),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrecBtgGItkV6oL6PO-199824-AKNational Drug L,"Anthem, Small & Large Group, 10+ CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
National Drug List Closed Formulary (CDI) (CA),Anthem,"Small Group,Large Group Plans",Four - Five,CHIR_IDrecS8WQXQUYcGxloO-233819-CANational Drug L,"Anthem, Small & Large Group, 4-5 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
National Drug List Closed Formulary (DMHC) (CA),Anthem,"Small Group,Large Group Plans",Four - Five,CHIR_IDrecpT7BulJdhKX6Zi-233834-CANational Drug L,"Anthem, Small & Large Group, 4-5 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
National Drug List Closed Formulary (Health Plan),Anthem,"Small Group,Large Group Plans",Four - Five,CHIR_IDrecL3pO8evIQahsSV-138034-AKNational Drug L,"Anthem, Small & Large Group, 4-5 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
National Drug List Closed Formulary (NY),Anthem,"Small Group,Large Group Plans",Four - Five,CHIR_IDrecomfOyXb7Fgp2Za-150284-NYNational Drug L,"Anthem, Small & Large Group, 4-5 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
National Drug List Closed Formulary (VA),Anthem,"Small Group,Large Group Plans",Four - Five,CHIR_IDrecwva8Sm8dwSyUbp-229245-VANational Drug L,"Anthem, Small & Large Group, 4-5 CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
National Five Tier Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrecjLa8k9cTPozwC3-340170-CTNational Five T,"Anthem, Small & Large Group, 10+ CGMs Covered","5-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",5-Tier Plan
National Four Tier Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDreccmzzx65LnZIXt9-340169-CTNational Four T,"Anthem, Small & Large Group, 10+ CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
National Three Tier Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrecMJhhz87iQbHt92-340168-CTNational Three ,"Anthem, Small & Large Group, 10+ CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
National/Preferred 3-Tier Split Drug List (ABCBS),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrecSzlAA7OPcHK5ez-356484-CONational/Prefer,"Anthem, Small & Large Group, 10+ CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Prior Authorization Drug List (National Drug List) (NY),Anthem,"Small Group,Large Group Plans",,CHIR_IDrecJ9hbnS6xYNXem2-147764-NYPrior Authoriza,"Anthem, Small & Large Group, nan CGMs Covered","Non-Tiered Plan, Small & Large Group","Large Group Plan, Small Group Plan",Non-Tiered Plan
Select Drug List 4-Tier (Individual) (CO),Anthem,Individual,Four - Five,CHIR_IDrecXoOzNEh6ghaqWX-138004-COSelect Drug Lis,"Anthem, Individual and Family Plan, 4-5 CGMs Covered","4-Tier Plan, Individual and Family Plan",Individual and Family Plan,4-Tier Plan
Select Drug List 4-Tier (Individual) (CT),Anthem,Individual,Four - Five,CHIR_IDrecdI1DJLos8NdMmv-150121-CTSelect Drug Lis,"Anthem, Individual and Family Plan, 4-5 CGMs Covered","4-Tier Plan, Individual and Family Plan",Individual and Family Plan,4-Tier Plan
Select Drug List 4-Tier (Small Group) (CO),Anthem,Individual,Two - Three,CHIR_IDrec89lG8bem0hPar8-290078-COSelect Drug Lis,"Anthem, Individual and Family Plan, 2-3 CGMs Covered","4-Tier Plan, Individual and Family Plan",Individual and Family Plan,4-Tier Plan
Select Drug List 4-Tier (Small Group) (CT),Anthem,Individual,Four - Five,CHIR_IDrecoABg9LAcdgHkWs-290079-CTSelect Drug Lis,"Anthem, Individual and Family Plan, 4-5 CGMs Covered","4-Tier Plan, Individual and Family Plan",Individual and Family Plan,4-Tier Plan
Select Drug List 4-Tier Split (Small Group) (CO),Anthem,Individual,Four - Five,CHIR_IDrecBhV8YH1qRx3Cfc-198045-COSelect Drug Lis,"Anthem, Individual and Family Plan, 4-5 CGMs Covered","4-Tier Plan, Individual and Family Plan",Individual and Family Plan,4-Tier Plan
