Line of Business,New Market Segment(s),Payer,Payer (Detailed),States,Covered Lives
Commercial,Individual,United Healthcare,United Healthcare,IL,"120,252"
Commercial,Large Group,United Healthcare,United Healthcare,IL,"426,941"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,IL,"2,153,279"
Commercial,Small Group,United Healthcare,United Healthcare,IL,"93,557"
Commercial,Large Group,United Healthcare,United Healthcare,IN,"370,594"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,IN,"354,845"
Commercial,Small Group,United Healthcare,United Healthcare,IN,"176,040"
Commercial,Individual,United Healthcare,United Healthcare,KS,"22,345"
Commercial,Large Group,United Healthcare,United Healthcare,KS,"100,428"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,KS,"131,635"
Commercial,Small Group,United Healthcare,United Healthcare,KS,"56,110"
Commercial,Individual,United Healthcare,United Healthcare,KY,"2,063"
Commercial,Large Group,United Healthcare,United Healthcare,KY,"54,142"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,KY,"188,941"
Commercial,Small Group,United Healthcare,United Healthcare,KY,"15,864"
Commercial,Large Group,United Healthcare,United Healthcare,LA,"4,527"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,LA,"313,645"
Commercial,Individual,United Healthcare,United Healthcare,MA,504
Commercial,Large Group,United Healthcare,United Healthcare,MA,"54,012"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,MA,"229,704"
Commercial,Small Group,United Healthcare,United Healthcare,MA,"19,390"
Commercial,Individual,United Healthcare,United Healthcare,MD,"4,803"
Commercial,Large Group,United Healthcare,United Healthcare,MD,"52,135"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,MD,"238,622"
Commercial,Small Group,United Healthcare,United Healthcare,MD,"42,551"
Commercial,Large Group,United Healthcare,United Healthcare,ME,877
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,ME,"2,099"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,MI,"224,479"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,MN,63
Commercial,Individual,United Healthcare,United Healthcare,MO,"13,645"
Commercial,Large Group,United Healthcare,United Healthcare,MO,"682,725"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,MO,"903,500"
Commercial,Small Group,United Healthcare,United Healthcare,MO,"231,170"
Commercial,Individual,United Healthcare,United Healthcare,MS,"34,517"
Commercial,Large Group,United Healthcare,United Healthcare,MS,947
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,MS,"192,581"
Commercial,Small Group,United Healthcare,United Healthcare,MS,"3,276"
Commercial,Individual,United Healthcare,United Healthcare,NC,"5,849"
Commercial,Large Group,United Healthcare,United Healthcare,NC,"43,318"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,NC,"557,447"
Commercial,Small Group,United Healthcare,United Healthcare,NC,"31,331"
Commercial,Individual,United Healthcare,United Healthcare,NE,"49,552"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,NE,"163,782"
Commercial,Large Group,United Healthcare,United Healthcare,NH,"1,303"
Commercial,Large Group,United Healthcare,United Healthcare Freedom Plans,NH,"5,176"
Commercial,Small Group,United Healthcare,United Healthcare,NH,"2,479"
Commercial,Small Group,United Healthcare,United Healthcare Freedom Plans,NH,"1,440"
Commercial,Individual,United Healthcare,United Healthcare,NJ,"15,328"
Commercial,Large Group,United Healthcare,Oxford Health Plans,NJ,"68,899"
Commercial,Large Group,United Healthcare,United Healthcare,NJ,"149,731"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,NJ,"627,517"
Commercial,Small Group,United Healthcare,Oxford Health Plans,NJ,"52,101"
Commercial,Large Group,United Healthcare,United Healthcare,NM,"41,708"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,NM,"59,676"
Commercial,Small Group,United Healthcare,United Healthcare,NM,"27,008"
Commercial,Individual,United Healthcare,Health Plan of Nevada,NV,"48,149"
Commercial,Individual,United Healthcare,Sierra Health and Life,NV,"9,824"
Commercial,Individual,United Healthcare,United Healthcare,NV,60
Commercial,Large Group,United Healthcare,Health Plan of Nevada,NV,"142,263"
Commercial,Large Group,United Healthcare,Sierra Health and Life,NV,"27,538"
Commercial,Large Group,United Healthcare,United Healthcare,NV,"45,263"
Commercial,Self Funded/Employer Sponsored,United Healthcare,Health Plan of Nevada,NV,"1,538,202"
Commercial,Small Group,United Healthcare,Health Plan of Nevada,NV,"13,209"
Commercial,Small Group,United Healthcare,Sierra Health and Life,NV,"12,365"
Commercial,Small Group,United Healthcare,United Healthcare,NV,"36,838"
Commercial,Large Group,United Healthcare,Oxford Health Plans,NY,"173,270"
Commercial,Large Group,United Healthcare,United Healthcare,NY,"373,857"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,NY,"2,309,082"
Commercial,Small Group,United Healthcare,Oxford Health Plans,NY,"354,867"
Commercial,Small Group,United Healthcare,United Healthcare,NY,"5,631"
Commercial,Large Group,United Healthcare,United Healthcare,OH,"6,859"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,OH,"1,017,721"
Commercial,Small Group,United Healthcare,United Healthcare,OH,"18,645"
Commercial,Individual,United Healthcare,United Healthcare,OK,"1,119"
Commercial,Large Group,United Healthcare,United Healthcare,OK,"13,506"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,OK,"377,814"
Commercial,Small Group,United Healthcare,United Healthcare,OK,"5,216"
Commercial,Large Group,United Healthcare,United Healthcare,OR,"31,122"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,OR,"101,577"
Commercial,Small Group,United Healthcare,United Healthcare,OR,"7,789"
Commercial,Individual,United Healthcare,United Healthcare,PA,"32,611"
Commercial,Large Group,United Healthcare,United Healthcare,PA,"2,524"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,PA,"503,046"
Commercial,Large Group,United Healthcare,United Healthcare,RI,712
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,RI,"131,528"
Commercial,Small Group,United Healthcare,United Healthcare,RI,166
Commercial,Large Group,United Healthcare,United Healthcare,SC,"19,183"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,SC,"94,502"
Commercial,Small Group,United Healthcare,United Healthcare,SC,"12,362"
Commercial,Large Group,United Healthcare,United Healthcare,SD,669
Commercial,Individual,United Healthcare,United Healthcare,TN,"17,895"
Commercial,Large Group,United Healthcare,United Healthcare,TN,"80,656"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,TN,"10,257"
Commercial,Small Group,United Healthcare,United Healthcare,TN,"63,435"
Commercial,Individual,United Healthcare,United Healthcare,TX,"2,665"
Commercial,Large Group,United Healthcare,United Healthcare,TX,"48,091"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,TX,"2,963,830"
Commercial,Small Group,United Healthcare,United Healthcare,TX,"16,567"
Commercial,Large Group,United Healthcare,United Healthcare,UT,"4,996"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,UT,"244,010"
Commercial,Small Group,United Healthcare,United Healthcare,UT,944
Commercial,Individual,United Healthcare,United Healthcare,VA,"15,852"
Commercial,Large Group,United Healthcare,United Healthcare,VA,"29,035"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,VA,"508,384"
Commercial,Small Group,United Healthcare,United Healthcare,VA,"13,434"
Commercial,Individual,United Healthcare,United Healthcare,WA,"12,930"
Commercial,Large Group,United Healthcare,United Healthcare,WA,"66,799"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,WA,"213,904"
Commercial,Small Group,United Healthcare,United Healthcare,WA,"42,696"
Commercial,Large Group,United Healthcare,United Healthcare,WI,"21,897"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,WI,"633,334"
Commercial,Small Group,United Healthcare,United Healthcare,WI,"27,362"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,WV,"2,440"
Commercial,Large Group,United Healthcare,United Healthcare,WY,"24,987"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,WY,"20,467"
Commercial,Small Group,United Healthcare,United Healthcare,WY,"9,420"
Commercial,Individual,HCSC,BCBS Illinois,IL,"255,020"
Commercial,Large Group,HCSC,BCBS Illinois,IL,"1,158,694"
Commercial,Self Funded/Employer Sponsored,HCSC,BCBS Illinois,IL,"6,820,127"
Commercial,Small Group,HCSC,BCBS Illinois,IL,"431,241"
Commercial,Individual,HCSC,BCBS Texas,TX,"1,443,617"
Commercial,Large Group,HCSC,BCBS Texas,TX,"1,196,604"
Commercial,Self Funded/Employer Sponsored,HCSC,BCBS Texas,TX,"6,501,458"
Commercial,Small Group,HCSC,BCBS Texas,TX,"442,554"
