Line of Business,New Market Segment(s),Payer,Payer (Detailed),States,Covered Lives
Commercial,Self Funded/Employer Sponsored,Aetna,Aetna,OR,"259,277"
Commercial,Small Group,Aetna,Aetna,OR,44
Commercial,Large Group,Aetna,Aetna,PA,"45,597"
Commercial,Self Funded/Employer Sponsored,Aetna,Aetna,PA,"876,274"
Commercial,Small Group,Aetna,Aetna,PA,"96,429"
Commercial,Self Funded/Employer Sponsored,Aetna,Aetna,RI,"19,441"
Commercial,Self Funded/Employer Sponsored,Aetna,Aetna,SC,"104,383"
Commercial,Small Group,Aetna,Aetna,SC,64
Commercial,Large Group,Aetna,Aetna,SD,"1,579"
Commercial,Self Funded/Employer Sponsored,Aetna,Aetna,SD,"14,332"
Commercial,Small Group,Aetna,Aetna,SD,"3,698"
Commercial,Self Funded/Employer Sponsored,Aetna,Aetna,TN,"244,706"
Commercial,Individual,Aetna,Aetna,TX,"254,157"
Commercial,Individual,Aetna,Texas Health | Aetna,TX,"371,720"
Commercial,Large Group,Aetna,Aetna,TX,"123,573"
Commercial,Large Group,Aetna,Texas Health | Aetna,TX,"9,481"
Commercial,Self Funded/Employer Sponsored,Aetna,Aetna,TX,"2,430,077"
Commercial,Self Funded/Employer Sponsored,Aetna,Texas Health | Aetna,TX,"15,412"
Commercial,Small Group,Aetna,Aetna,TX,"63,606"
Commercial,Small Group,Aetna,Texas Health | Aetna,TX,"3,792"
Commercial,Individual,Aetna,Aetna,UT,"85,723"
Commercial,Large Group,Aetna,Aetna,UT,"126,642"
Commercial,Self Funded/Employer Sponsored,Aetna,Aetna,UT,"161,219"
Commercial,Small Group,Aetna,Aetna,UT,"59,873"
Commercial,Individual,Aetna,Aetna,VA,"30,290"
Commercial,Large Group,Aetna,Aetna,VA,"41,412"
Commercial,Self Funded/Employer Sponsored,Aetna,Aetna,VA,"597,181"
Commercial,Small Group,Aetna,Aetna,VA,"28,146"
Commercial,Self Funded/Employer Sponsored,Aetna,Aetna,VT,"15,696"
Commercial,Large Group,Aetna,Aetna,WA,"333,394"
Commercial,Self Funded/Employer Sponsored,Aetna,Aetna,WA,"318,833"
Commercial,Small Group,Aetna,Aetna,WA,"172,304"
Commercial,Self Funded/Employer Sponsored,Aetna,Aetna,WI,"144,841"
Commercial,Self Funded/Employer Sponsored,Aetna,Aetna,WV,"91,412"
Commercial,Self Funded/Employer Sponsored,Aetna,Aetna,WY,"15,250"
Commercial,Individual,Anthem,Anthem,CA,"263,556"
Commercial,Large Group,Anthem,Anthem,CA,"1,035,330"
Commercial,Self Funded/Employer Sponsored,Anthem,Anthem,CA,"2,718,462"
Commercial,Small Group,Anthem,Anthem,CA,"573,455"
Commercial,Individual,Anthem,Anthem,CO,"91,277"
Commercial,Large Group,Anthem,Anthem,CO,"91,263"
Commercial,Self Funded/Employer Sponsored,Anthem,Anthem,CO,"818,620"
Commercial,Small Group,Anthem,Anthem,CO,"27,901"
Commercial,Individual,Anthem,Anthem,CT,"70,638"
Commercial,Large Group,Anthem,Anthem,CT,"37,792"
Commercial,Self Funded/Employer Sponsored,Anthem,Anthem,CT,"953,031"
Commercial,Small Group,Anthem,Anthem,CT,"50,692"
Commercial,Individual,Anthem,Anthem,GA,"61,740"
Commercial,Large Group,Anthem,Anthem,GA,"120,431"
Commercial,Self Funded/Employer Sponsored,Anthem,Anthem,GA,"1,403,991"
Commercial,Small Group,Anthem,Anthem,GA,"98,652"
Commercial,Individual,Anthem,Anthem,IN,"103,108"
Commercial,Large Group,Anthem,Anthem,IN,"132,292"
