Document Title,Payer,Market Segment,Number of Approved CGMs,UUID_dupe,Cross-Payer Grouping A,Cross-Payer Grouping B
Chronic Medicine Standard Opt Out Plan and Basic Control Plan with ACSF (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecQ1D6Y8At6uJfTH-240418-MOChronic Medicin,"Aetna, Unclear, 2-3 Devices",
Health Exchange Plan Pharmacy Drug Guide (NJ Health Plan),Aetna,Individual,Two - Three,CHIR_IDrecead4JeM92pCkFj-315120-NJHealth Exchange,"Aetna, Individual and Family Plan, 2-3 Devices",
High Value Plan Chronic Medication List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecrxXJ1cd5KZTIe9-268569-AKHigh Value Plan,"Aetna, Unclear, 2-3 Devices",
High Value Plan Pharmacy Drug Guide (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecWyRLfsUD17fvVs-229630-AKHigh Value Plan,"Aetna, Unclear, 2-3 Devices",
High Value Preventive Medicine List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecvK6UAJOwA0HfzU-137227-AKHigh Value Prev,"Aetna, Unclear, 2-3 Devices",
Individual Health Exchange Plan Pharmacy Drug Guide (CA Health Plan),Aetna,Individual,Two - Three,CHIR_IDrecpOvrFVHJ7v9mDq-315119-CAIndividual Heal,"Aetna, Individual and Family Plan, 2-3 Devices",
Innovation Health Advanced Control Plan Pharmacy Drug Guide (Health Plan),Aetna,Unclear,Eight - Nine,CHIR_IDrecOWUWJx5ffH4yNI-300609-AKInnovation Heal,"Aetna, Unclear, 8-9 Devices",
Innovation Health Exchange Plan Pharmacy Drug Guide (Health Plan),Aetna,Individual,Two - Three,CHIR_IDrecHko6ZGW6eiN8JH-300601-AKInnovation Heal,"Aetna, Individual and Family Plan, 2-3 Devices",
Innovation Health Standard Opt Out Plan Pharmacy Drug Guide (Health Plan),Aetna,Unclear,Six - Seven,CHIR_IDrec332gsNO6pxm0mS-300610-AKInnovation Heal,"Aetna, Unclear, 6-7 Devices",
Innovation Health Standard Opt Out Plan with ACSF Pharmacy Drug Guide (Health Plan),Aetna,Unclear,Six - Seven,CHIR_IDrec6d3N09C8zha8jy-310578-AKInnovation Heal,"Aetna, Unclear, 6-7 Devices",
Innovation Health Standard Plan Pharmacy Drug Guide (Health Plan),Aetna,Unclear,Eight - Nine,CHIR_IDrec7Lt5WEYdrxgA8Y-310574-AKInnovation Heal,"Aetna, Unclear, 8-9 Devices",
New Jersey Educators Health Plan Formulary (Health Plan),Aetna,State employee plan,Two - Three,CHIR_IDrec9ghBDY96gYPxhh-290179-NJNew Jersey Educ,"Aetna, Employee, 2-3 Devices",
Standard Control Choice Formulary Exclusions Drug List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecWrNSoA1TzEM39M-340822-AKStandard Contro,"Aetna, Unclear, 2-3 Devices",
Standard Control Choice Plan Chronic Drug List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecCzhSWt6No6SkGW-341598-AKStandard Contro,"Aetna, Unclear, 2-3 Devices",
Standard Control Choice Plan Drug List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecLVjkKWJGLYeT58-341596-AKStandard Contro,"Aetna, Unclear, 2-3 Devices",
Standard Control Choice Plan Preventive Drug List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecUjVns9RNCU3vbt-341597-AKStandard Contro,"Aetna, Unclear, 2-3 Devices",
Standard Control Choice Plan with ACSF Drug List (Health Plan),Aetna,Unclear,Ten or More,CHIR_IDrecx5fFJx0Gf2mFCx-341602-AKStandard Contro,"Aetna, Unclear, Ten or More Devices",
Standard Control Choice Plan with ACSF Excluded Drug List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrec4tKAoU4OV9XjWG-341606-AKStandard Contro,,
Standard Control Choice Plan with ACSF Preventive Drug List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecc20Lra6MlBlT3N-341604-AKStandard Contro,,
Standard Control Formulary Exclusions Drug List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecgcz3D7sTJNA50W-315261-AKStandard Contro,,
Standard Control Plan Pharmacy Drug Guide (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecHuqUEyqll1D7Mf-315260-AKStandard Contro,,
Standard Opt Out Plan and Basic Control Plan Preventive Medication List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecsqWDaJVoKA03wz-268573-AKStandard Opt Ou,,
Standard Opt Out Plan Drug List (CA Health Plan),Aetna,Unclear,Eight - Nine,CHIR_IDrec9WpSLIGFIa7NTl-341608-CAStandard Opt Ou,,
Standard Opt Out Plan Preventive Medicine (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecr05URW69NKWSeY-229633-AKStandard Opt Ou,,
Standard Opt-Out Plan Prescription Drug List (CA Health Plan),Aetna,Unclear,Ten or More,CHIR_IDrecAXi2XVzlG9ZBUi-268465-CAStandard Opt-Ou,,
Standard Plan Chronic Drug List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecttM09WeT2ijYEZ-200239-AKStandard Plan C,,
Standard Plan Formulary Exclusions Drug List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecYSgTg5drYotEv8-191417-AKStandard Plan F,,
Standard Plan Preferred Drug List (Health Plan),Aetna,Unclear,Eight - Nine,CHIR_IDrecaNmGxleRLQyfPo-191415-AKStandard Plan P,,
Standard Plan Preventive Drug List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrec1yp0Y7tKAwRZbM-200238-AKStandard Plan P,,
Anthem 3 Tier National Drug List,Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrec9r4tcLFeHXRq6B-137265-AKAnthem 3 Tier N,,
Anthem National Drug List Closed Formulary (VA),Anthem,"Small Group,Large Group Plans",Four - Five,CHIR_IDrecn9eIEB50Qb1SWJ-290074-AKAnthem National,,
City of Cincinnati Essential Drug List (Health Plan),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrec0jINF9aiAcX46p-340116-OHCity of Cincinn,,
Essential Direct 3-Tier Drug List (CT),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecQxH5IHd63TcT4N-373006-CTEssential Direc,,
Essential Direct 3-Tier Drug List (NY),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrec8la25KOQ5lDgF7-372908-NYEssential Direc,,
Essential Direct 4-Tier Drug List (CT),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrec1vJN8pxzmmA8aZ-373007-CTEssential Direc,,
Essential Direct 4-Tier Drug List (NY),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecLh45Ho7lm5y7IL-372915-NYEssential Direc,,
Essential Direct 5-Tier Drug List (CT),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecEnlh3mlW0wNZn4-373009-CTEssential Direc,,
Essential Direct 5-Tier Drug List (NY),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrec0JeBrUq1on9hJv-372916-NYEssential Direc,,
Essential Drug List 3-Tier (CDI) (CA),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrec22ZNnIXTbRgQlK-233733-AKEssential Drug ,,
Essential Drug List 3-Tier (Commercial),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrec2eXFqJZlRhut2n-138035-AKEssential Drug ,,
Essential Drug List 3-Tier (Commercial) (VA),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDreceY8VSQr7hfW3r1-190510-COEssential Drug ,,
Essential Drug List 3-Tier (DMHC) (CA),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecQakElf8adKXkOj-233738-CAEssential Drug ,,
Essential Drug List 4-Tier (CDI) (CA),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrectSiDHr6onNnKGX-233748-AKEssential Drug ,,
Essential Drug List 4-Tier (Commercial),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecJwQzHVpasI2kwC-137924-AKEssential Drug ,,
Essential Drug List 4-Tier (Commercial) (VA),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrec0VePKLGl0e98Ss-190515-COEssential Drug ,,
Essential Drug List 4-Tier (DMHC) (CA),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrecP45GzDvaYEr7g8-233751-CAEssential Drug ,,
Essential Drug List 5-Tier (CDI) (CA),Anthem,"Small Group,Large Group Plans",Six - Seven,CHIR_IDrect5N36Up0y9P9yX-233760-AKEssential Drug ,,
