Document Title,Payer,Market Segment,Number of Approved CGMs,UUID_dupe,Cross-Payer Grouping A,Cross-Payer Grouping B
National Drug List Closed Formulary (VA),Anthem,"Small Group,Large Group Plans",Four - Five,CHIR_IDrecwva8Sm8dwSyUbp-229245-VANational Drug L,,
National Five Tier Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrecjLa8k9cTPozwC3-340170-CTNational Five T,,
National Four Tier Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDreccmzzx65LnZIXt9-340169-CTNational Four T,,
National Three Tier Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrecMJhhz87iQbHt92-340168-CTNational Three ,,
National/Preferred 3-Tier Split Drug List (ABCBS),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrecSzlAA7OPcHK5ez-356484-CONational/Prefer,,
Prior Authorization Drug List (National Drug List) (NY),Anthem,"Small Group,Large Group Plans",None,CHIR_IDrecJ9hbnS6xYNXem2-147764-NYPrior Authoriza,,
Select Drug List 4-Tier (Individual) (CO),Anthem,Individual,Four - Five,CHIR_IDrecXoOzNEh6ghaqWX-138004-COSelect Drug Lis,,
Select Drug List 4-Tier (Individual) (CT),Anthem,Individual,Four - Five,CHIR_IDrecdI1DJLos8NdMmv-150121-CTSelect Drug Lis,,
Select Drug List 4-Tier (Small Group) (CO),Anthem,Individual,Two - Three,CHIR_IDrec89lG8bem0hPar8-290078-COSelect Drug Lis,,
Select Drug List 4-Tier (Small Group) (CT),Anthem,Individual,Four - Five,CHIR_IDrecoABg9LAcdgHkWs-290079-CTSelect Drug Lis,,
Select Drug List 4-Tier Split (Small Group) (CO),Anthem,Individual,Four - Five,CHIR_IDrecBhV8YH1qRx3Cfc-198045-COSelect Drug Lis,,
Select Drug List 4-Tier Split (Small Group) (CT),Anthem,Individual,Four - Five,CHIR_IDrecbfwfdwqYaI0FpD-290095-CTSelect Drug Lis,,
Small Group Select 3-Tier Drug List (CT),Anthem,Small Group,Four - Five,CHIR_IDrecnadZFUBgMPsHer-229256-CTSmall Group Sel,,
Three Tier National Drug List (CT Health Plan),Anthem,"Small Group,Large Group Plans",Ten or More,CHIR_IDrec8oj1dMgvZ8Eqwj-313031-CTThree Tier Nati,,
Traditional Five Tier Drug List (CT Health Plan),Anthem,Unclear,Ten or More,CHIR_IDrecPNFjdSaxwsVElj-340181-CTTraditional Fiv,,
Traditional Four Tier Drug List (CT Health Plan),Anthem,Unclear,Ten or More,CHIR_IDrecFYRU4rrf6Lp7Ta-340180-CTTraditional Fou,,
Traditional Open 3-Tier Drug List (NY),Anthem,Unclear,Ten or More,CHIR_IDrecRUCLyDIeimfuhV-229512-NYTraditional Ope,,
Traditional Open 3-Tier Drug List Without Contraceptives (NY),Anthem,Unclear,Ten or More,CHIR_IDrecAbEJr9NWSO4kNF-290138-NYTraditional Ope,,
Traditional Open Drug List 3-Tier,Anthem,Unclear,Ten or More,CHIR_IDrecCM3xlFx8z5PKAd-190980-AKTraditional Ope,,
Traditional Open Drug List 3-Tier (CDI) (CA),Anthem,Unclear,Ten or More,CHIR_IDrecOjFTvQHjqejWhu-233840-AKTraditional Ope,,
Traditional Open Drug List 3-Tier (DMHC) (CA),Anthem,Unclear,Ten or More,CHIR_IDrecR6shwRDJ1EZP81-233845-CATraditional Ope,,
Traditional Open Drug List 3-Tier (VA),Anthem,Unclear,Ten or More,CHIR_IDrecZYPwJnUisehrG4-197807-VATraditional Ope,,
Traditional Open Drug List 4-Tier,Anthem,Unclear,Ten or More,CHIR_IDrec9YaaNtFblIMYD2-190989-AKTraditional Ope,,
Traditional Open Drug List 4-Tier (CDI) (CA),Anthem,Unclear,Ten or More,CHIR_IDrec1mptlQ9IIffekC-233846-AKTraditional Ope,,
Traditional Open Drug List 4-Tier (DMHC) (CA),Anthem,Unclear,Ten or More,CHIR_IDrecn3W3M0XkDRsI85-233847-CATraditional Ope,,
Traditional Open Drug List 4-Tier (VA),Anthem,Unclear,Ten or More,CHIR_IDrecbmgPHpeRLNJ7lD-197809-VATraditional Ope,,
Traditional Open Drug List 5-Tier,Anthem,Unclear,Ten or More,CHIR_IDrecRyqoG0DW8GIx4y-190994-AKTraditional Ope,,
Traditional Open Drug List 5-Tier (CDI) (CA),Anthem,Unclear,Ten or More,CHIR_IDrec8zJ6mu4xa4PyqC-233848-AKTraditional Ope,,
Traditional Open Drug List 5-Tier (DMHC) (CA),Anthem,Unclear,Ten or More,CHIR_IDrecHULLvIQv0r1Tu2-233851-AKTraditional Ope,,
Traditional Three Tier Drug List (CT Health Plan),Anthem,Unclear,Ten or More,CHIR_IDreczLobY6muPQEU3N-340179-CTTraditional Thr,,
Balanced Dispensing Limits (Health Plan),BCBS Illinois,Large Group Plans,Eight - Nine,CHIR_IDrecOH12LYRK6vlbzR-231937-AKBalanced Dispen,,
Balanced Drug List (Health Plan),BCBS Illinois,Large Group Plans,Two - Three,CHIR_IDrecD8bHXDAlYUuxnT-198167-AKBalanced Drug L,,
Basic Annual Dispensing Limits List (Health Plan),BCBS Illinois,"Large Group Plans,Small Employer Plans,Individual Plans",Eight - Nine,CHIR_IDrec9DPMkR0s4bTm5J-252487-AKBasic Annual Di,,
Basic Annual Drug List (Health Plan),BCBS Illinois,"Large Group Plans,Small Employer Plans,Individual Plans",Two - Three,CHIR_IDrecGZopZ7fSNLA3TF-213656-AKBasic Annual Dr,,
Basic Dispensing Limits (Health Plan),BCBS Illinois,"Large Group Plans,Small Employer Plans,Individual Plans",Ten or More,CHIR_IDrecIX334jgCHe0VIZ-231935-AKBasic Dispensin,,
Basic Drug List (Health Plan),BCBS Illinois,"Large Group Plans,Small Employer Plans,Individual Plans",Two - Three,CHIR_IDrecaFb1RpCNsr1lxH-136824-AKBasic Drug List,,
Enhanced Annual Drug List (IL Health Plan),BCBS Illinois,"Large Group Plans,Small Employer Plans",Two - Three,CHIR_IDrecvmwAISDn0AGfiT-290124-AKEnhanced Annual,,
Enhanced Annual Formulary Dispensing Limits (Health Plan),BCBS Illinois,"Large Group Plans,Small Employer Plans",Ten or More,CHIR_IDrecps26xB6wNUYp1u-238900-AKEnhanced Annual,,
Enhanced Drug List (Health Plan),BCBS Illinois,"Large Group Plans,Small Employer Plans",Two - Three,CHIR_IDrecskgWE9nCWTRM8V-136972-AKEnhanced Drug L,,
Enhanced Drug List Dispensing Limits (Health Plan),BCBS Illinois,"Large Group Plans,Small Employer Plans",Ten or More,CHIR_IDrec8WZnTw38YyIp5v-172343-AKEnhanced Drug L,,
Health Insurance Marketplace 4-Tier Drug List (HMO POS) (IL Health Plan),BCBS Illinois,Individual,Two - Three,CHIR_IDrec0Y84cLsYbBeZf0-311656-AKHealth Insuranc,,
Health Insurance Marketplace 4-Tier Drug List (IL Health Plan),BCBS Illinois,Individual,Two - Three,CHIR_IDrecBM1DTSNPLoIDpg-311655-AKHealth Insuranc,,
Health Insurance Marketplace 6-Tier Drug List (Health Plan),BCBS Illinois,Individual,Two - Three,CHIR_IDrecg0T5Hnx6o1Q583-170116-AKHealth Insuranc,,
Health Insurance Marketplace Dispensing Limits (Health Plan),BCBS Illinois,Individual,Ten or More,CHIR_IDrec3uezi6ijl5G0T0-231934-AKHealth Insuranc,,
Health Insurance Marketplace HMO POS 6-Tier Drug List (Health Plan),BCBS Illinois,Individual,Two - Three,CHIR_IDrecJzZzCH9ija0PPs-198169-AKHealth Insuranc,,
Multi-Tier Basic Annual Drug List (IL Health Plan),BCBS Illinois,Large Group Plans,Two - Three,CHIR_IDrecY1yMDuvfCTMIEL-290123-AKMulti-Tier Basi,,
Multi-Tier Basic Drug List (Health Plan),BCBS Illinois,Large Group Plans,Two - Three,CHIR_IDreczI5zkLoVB8BWKt-197341-AKMulti-Tier Basi,,
Multi-Tier Enhanced Annual Drug List (IL Health Plan),BCBS Illinois,Large Group Plans,Two - Three,CHIR_IDrecNPIWUxOwYoZ7k4-290125-AKMulti-Tier Enha,,
Multi-Tier Enhanced Drug List (Health Plan),BCBS Illinois,Large Group Plans,Two - Three,CHIR_IDrec7Ky23fW2U3T0P9-137357-AKMulti-Tier Enha,,
Performance Annual Drug List (Health Plan),BCBS Illinois,Large Group Plans,Two - Three,CHIR_IDrecViSnqdX6t9Pkno-231285-AKPerformance Ann,,
Performance Dispensing Limits (Health Plan),BCBS Illinois,Large Group Plans,Eight - Nine,CHIR_IDrec0i66DIWYKXlhh3-231938-AKPerformance Dis,,
Performance Drug List (Health Plan),BCBS Illinois,Large Group Plans,Two - Three,CHIR_IDrechEndiqjYrozhgE-151699-AKPerformance Dru,,
Performance Select Dispensing Limits (Health Plan),BCBS Illinois,Large Group Plans,Ten or More,CHIR_IDrec0FJQOSZW2AlsYj-231939-AKPerformance Sel,,
Performance Select Drug List (Health Plan),BCBS Illinois,Large Group Plans,Two - Three,CHIR_IDrecZQZuedYBByh8q9-151701-AKPerformance Sel,,
Balanced Drug List (Health Plan),BCBS Texas,Unclear,Two - Three,,,
Balanced Drug List Dispensing Limits (Health Plan),BCBS Texas,"Large Group Plans,Small Employer Plans,Individual",Ten or More,CHIR_IDrecsCwp0I0aO9jbWE-229477-AKBalanced Drug L,,
Basic Annual Drug List (Health Plan),BCBS Texas,"Large Group Plans,Small Employer Plans,Individual",Two - Three,CHIR_IDrecfTSia0DRlaRVWT-231974-AKBasic Annual Dr,,
Basic Annual Drug List Dispensing Limits (Health Plan),BCBS Texas,"Large Group Plans,Small Employer Plans,Individual",Ten or More,CHIR_IDrechJo0JdJnD1FlIw-238681-AKBasic Annual Dr,,
Basic Drug List (Health Plan),BCBS Texas,Unclear,Two - Three,,,
Basic Drug List Dispensing Limits (Health Plan),BCBS Texas,"Large Group Plans,Small Employer Plans,Individual",Eight - Nine,CHIR_IDrec5cFJt2HMUQc5JK-229475-AKBasic Drug List,,
Enhanced Annual Dispensing Limits (Health Plan),BCBS Texas,"Large Group Plans,Small Employer Plans,Individual",Ten or More,CHIR_IDrecdNkafG0cgJbNeF-290158-AKEnhanced Annual,,
Enhanced Annual Drug List (Health Plan),BCBS Texas,"Large Group Plans,Small Employer Plans,Individual",Two - Three,CHIR_IDrec6P2jTGdvu5UrPP-229449-AKEnhanced Annual,,
Enhanced Drug List (Health Plan),BCBS Texas,"Large Group Plans,Small Employer Plans,Individual",Two - Three,CHIR_IDrecLlzcaf1l2ElYN5-136972-AKEnhanced Drug L,,
Enhanced Drug List Dispensing Limits (Health Plan),BCBS Texas,"Large Group Plans,Small Employer Plans,Individual",Ten or More,CHIR_IDrecvzXw6zp6eVcoPe-172343-AKEnhanced Drug L,,
Health Insurance Marketplace 4-Tier Drug List (Health Plan),BCBS Texas,Individual,Two - Three,CHIR_IDrecMUcnZLAncAAObT-311991-TXHealth Insuranc,,
Health Insurance Marketplace 6-Tier Drug List (Health Plan),BCBS Texas,Individual,Two - Three,CHIR_IDrecoO42qMIDBTzofX-171374-AKHealth Insuranc,,
Health Insurance Marketplace 6-Tier In-Vitro Fertilization (IVF) Drug List (Health Plan),BCBS Texas,Individual,Two - Three,CHIR_IDrecqe6xykF8rzBzmx-290128-AKHealth Insuranc,,
Health Insurance Marketplace Drug List Dispensing Limits (Health Plan),BCBS Texas,Individual,Ten or More,CHIR_IDrecNeAo44lGvtK5LC-229474-AKHealth Insuranc,,
Multi-Tier Basic Annual Drug List (Health Plan),BCBS Texas,Large Group Plans,Two - Three,CHIR_IDrec8nKL0jBluspeRJ-229442-AKMulti-Tier Basi,,
Multi-Tier Basic Drug List (Health Plan),BCBS Texas,Unclear,Two - Three,,,
Multi-Tier Enhanced Annual Drug List (Health Plan),BCBS Texas,Large Group Plans,Two - Three,CHIR_IDrecBxhgkzCYpz6EWO-229454-AKMulti-Tier Enha,,
Multi-Tier Enhanced Drug List (Health Plan),BCBS Texas,Unclear,Two - Three,,,
Performance Annual Drug List (Health Plan),BCBS Texas,Unclear,Two - Three,,,
Performance Annual Drug List Dispensing Limits (Health Plan),BCBS Texas,Large Group Plans,Eight - Nine,CHIR_IDrecjm5u9PZEEByRoE-238948-AKPerformance Ann,,
Performance Drug List (Health Plan),BCBS Texas,Unclear,Two - Three,,,
Performance Drug List Dispensing Limits (Health Plan),BCBS Texas,Large Group Plans,Ten or More,CHIR_IDrecPmeP7pR0CdLmM8-172359-AKPerformance Dru,,
Performance Select Drug List (Health Plan),BCBS Texas,Large Group Plans,Two - Three,CHIR_IDrecQSu1ZAZA9mvB0k-152573-AKPerformance Sel,,
Performance Select Drug List Dispensing Limits (Health Plan),BCBS Texas,Large Group Plans,Ten or More,CHIR_IDrecUnRU6plx3NIfFC-172360-AKPerformance Sel,,
Blue Shield Performance Drug Formulary (Health Plan),Blue Shield California,Large Group Plans,Two - Three,CHIR_IDrecSsRmQCXeuWPfsc-371030-AKBlue Shield Per,,
Plus Drug Formulary (DMHC) (Health Plan),Blue Shield California,Large Group Plans,Eight - Nine,CHIR_IDrecwEa0txF30LCwQc-267382-AKPlus Drug Formu,,
Plus Drug Formulary (Grandfathered CDI) (Health Plan),Blue Shield California,Large Group Plans,Eight - Nine,CHIR_IDrecoLjijgZkfLyanJ-137320-AKPlus Drug Formu,,
Plus Drug Formulary (Grandfathered DMHC) (Health Plan),Blue Shield California,Large Group Plans,Eight - Nine,CHIR_IDreci9D4SyC5GKCSou-267380-AKPlus Drug Formu,,
Standard Formulary (DMHC) (Health Plan),Blue Shield California,"Individual and Family Plans,Small Group Plans",Two - Three,CHIR_IDrecnEX1X1DNveXeAe-136813-AKStandard Formul,,
Value Drug Formulary (DMHC) (Health Plan),Blue Shield California,HMA & PPO Group Plans,Two - Three,CHIR_IDrecthjnRCE5vRUEYp-198183-AKValue Drug Form,,
Cigna Advantage 3-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Ten or More,CHIR_IDreco8dzvWMiavZF7e-268500-CACigna Advantage,,
Cigna Advantage 3-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage,,
Cigna Advantage 4-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Ten or More,CHIR_IDrectHaioBXOsI6cqX-268501-CACigna Advantage,,
Cigna Advantage Four Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage,,
Cigna HealthCare Premiere 4-Tier Prescription Drug List (VA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrecABP8O2d7rCsqhL-342579-VACigna HealthCar,,
Cigna Legacy (Performance) 3-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDrecLf3fWd431A9nHM-268514-CACigna Legacy (P,,
Cigna Legacy (Performance) 3-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P,,
Cigna Legacy (Performance) 4-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDrecYVBm9MdEPWXQeU-268515-CACigna Legacy (P,,
Cigna Legacy (Performance) 4-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P,,
Cigna Legacy (Standard) 3-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDrec4Qr94xDlYrbRga-268504-CACigna Legacy (S,,
Cigna Legacy (Standard) 3-Tier Prescription Drug List (DHMC) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDrecF2s1rGKZjNLRgl-268505-CACigna Legacy (S,,
Cigna Legacy (Standard) 3-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S,,
Cigna Legacy (Standard) 4-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrecIVRi7gup9Oe04p-268506-CACigna Legacy (S,,
Cigna Legacy (Standard) 4-Tier Prescription Drug List (DHMC) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecdXPtGEJHO8qAel-268507-CACigna Legacy (S,,
Cigna Legacy (Standard) 4-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S,,
Cigna National 3-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Ten or More,CHIR_IDrec3JRUHq6kAMUXBe-268519-CACigna National ,,
Cigna National 3-Tier Prescription Drug List (DHMC) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Ten or More,CHIR_IDrecx3sTGQuwDRV5AK-268520-CACigna National ,,
Cigna National Preferred 4-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecz9PX0eb2hqzpIV-316786-CACigna National ,,
Cigna National Preferred 4-Tier Prescription Drug List (DMHC) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecFVf6CGLVgwPnNp-316787-CACigna National ,,
Cigna National Preferred 4-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National ,,
Cigna National Preferred 4-Tier Specialty Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecjT083Nk14tOagv-316788-CACigna National ,,
Cigna National Preferred 4-Tier Specialty Prescription Drug List (DMHC) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecwKFCq7JLOuT0Bi-316789-CACigna National ,,
Cigna National Preferred 4-Tier Specialty Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National ,,
Cigna National Preferred 5-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrechaSNIScHw2dU0W-316791-CACigna National ,,
Cigna National Preferred 5-Tier Prescription Drug List (DMHC) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecusdGJp8vXTL9qw-316792-CACigna National ,,
Cigna National Preferred 5-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National ,,
Cigna National Preferred 5-Tier Specialty Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecZp60qazvEOCOIe-316793-CACigna National ,,
Cigna National Preferred 5-Tier Specialty Prescription Drug List (DMHC) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDreca9XzQkdTf86EUo-316794-CACigna National ,,
Cigna National Preferred 5-Tier Specialty Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National ,,
Cigna National Preferred 6-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecCKd9ou6oLEKtG8-316796-CACigna National ,,
Cigna National Preferred 6-Tier Prescription Drug List (DMHC) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrec2wHHlTA6YHpzo6-316797-CACigna National ,,
Cigna National Preferred 6-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ,,
Cigna National Preferred Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National ,,
Cigna Performance 3-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDrec5boxnyE0YH8kjB-268497-CACigna Performan,,
Cigna Performance 3-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan,,
Cigna Performance 4-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDrecsyKu9FxwVFcOyd-268498-CACigna Performan,,
Cigna Performance Four Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan,,
Cigna Plus 4-Tier Prescription Drug List (FL Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrecd4qtuaL8eFOiQO-315721-FLCigna Plus 4-Ti,,
Cigna Plus 4-Tier Prescription Drug List (IL Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrec1IHz2OOJpSBvYd-315723-ILCigna Plus 4-Ti,,
Cigna Plus 4-Tier Prescription Drug List (MS Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrecO8bdAH1bLHKmce-315727-MSCigna Plus 4-Ti,,
Cigna Plus 4-Tier Prescription Drug List (NC Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDreciy9B9sDXpr2Dqs-315728-NCCigna Plus 4-Ti,,
Cigna Plus 4-Tier Prescription Drug List (TN Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrecIwMlQXmgXLizkc-315730-TNCigna Plus 4-Ti,,
Cigna Plus 4-Tier Prescription Drug List (TX Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrecprZRTEFB3PlkdA-315731-TXCigna Plus 4-Ti,,
Cigna Plus 5-Tier Prescription Drug List (GA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrecHyYRqsK42c4Ufu-290261-GACigna Plus 5-Ti,,
Cigna Plus 5-Tier Prescription Drug List (MS Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrec6K8dDay3YQXC4r-290262-MSCigna Plus 5-Ti,,
Cigna Plus 5-Tier Prescription Drug List (TX Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrec897RxDNvGubkQq-315719-TXCigna Plus 5-Ti,,
Cigna Premiere 4-Tier Prescription Drug List (AZ Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrec7AIzuLz4CznuBE-315720-AZCigna Premiere ,,
Cigna Premiere 4-Tier Prescription Drug List (IN Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrecsjld1rrbq7890t-315724-INCigna Premiere ,,
Cigna Premiere 5-Tier Prescription Drug List (IN Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrecubku9V573IgvWv-315717-INCigna Premiere ,,
Cigna Rx Essential 5-Tier Prescription Drug List (CO Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrecu6kCoiBjWI3ilg-199851-COCigna Rx Essent,,
Cigna Rx Plus 5-Tier Prescription Drug List (FL Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrecSGoB9fMDWK7rxb-199852-FLCigna Rx Plus 5,,
Cigna Rx Plus 5-Tier Prescription Drug List (IL Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrectUEMNRDRT1oaFG-199853-ILCigna Rx Plus 5,,
Cigna Rx Plus 5-Tier Prescription Drug List (NC Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrecl7DpdEpmQtYnyD-199855-NCCigna Rx Plus 5,,
Cigna Rx Plus 5-Tier Prescription Drug List (TN Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrecFuxI7QC0T0swLz-199856-TNCigna Rx Plus 5,,
Cigna Rx Premiere 5-Tier Prescription Drug List (AZ Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrec1TkkGpQ2uF6bDK-199850-AZCigna Rx Premie,,
Cigna Rx Premiere 5-Tier Prescription Drug List (VA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Four - Five,CHIR_IDrecXN4ilDVIJsIlsy-199858-VACigna Rx Premie,,
Cigna Specialty Legacy (Standard) 4-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecRiX2gUWorPfloW-268509-CACigna Specialty,,
Cigna Specialty Legacy (Standard) 4-Tier Prescription Drug List (DHMC) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecBE4b7RoZccHPkC-268510-CACigna Specialty,,
Cigna Specialty Legacy (Standard) 4-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty,,
Cigna Specialty Standard 4-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDrec2htHm6fFJXcnVe-268485-CACigna Specialty,,
Cigna Specialty Standard 4-Tier Prescription Drug List (DHMC) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDreczN89f6WNs77hqx-268486-CACigna Specialty,,
Cigna Specialty Standard 4-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty,,
Cigna Specialty Value 4-Tier Prescription Drug List (CDI) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Eight - Nine,CHIR_IDrecsPx1FO1IQwUgn1-268495-CACigna Specialty,,
Cigna Specialty Value 4-Tier Prescription Drug List (DHMC) (CA Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecnYvV4HVyFnTJWs-268496-CACigna Specialty,,
Cigna Specialty Value 4-Tier Prescription Drug List (Health Plan),Cigna,Employer Plans (Small Group Plans and Large Group Plans),Six - Seven,CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty,,
