Document Title,uuid_formula,UUID_dupe,airtable_record_id,New State Grouping
Cigna National Preferred 4-Tier Prescription Drug List (CDI) (CA Health Plan),CHIR_IDrecz9PX0eb2hqzpIV-316786-CACigna National ,CHIR_IDrecz9PX0eb2hqzpIV-316786-CACigna National ,recz9PX0eb2hqzpIV,Only 1 State(s): CA
Cigna National Preferred 4-Tier Specialty Prescription Drug List (CDI) (CA Health Plan),CHIR_IDrecjT083Nk14tOagv-316788-CACigna National ,CHIR_IDrecjT083Nk14tOagv-316788-CACigna National ,recjT083Nk14tOagv,Only 1 State(s): CA
Oscar and Cigna Express Scripts High Performance Formulary (KS Health Plan),CHIR_IDrecxQnO4owR1lVQM4-301931-KSOscar and Cigna,CHIR_IDrecxQnO4owR1lVQM4-301931-KSOscar and Cigna,recxQnO4owR1lVQM4,Only 1 State(s): KS
Oscar and Cigna Express Scripts High Performance Formulary (GA Health Plan),CHIR_IDrecXKPcpVxGYyghZt-301923-GAOscar and Cigna,CHIR_IDrecXKPcpVxGYyghZt-301923-GAOscar and Cigna,recXKPcpVxGYyghZt,Only 1 State(s): GA
Oscar and Cigna Express Scripts High Performance Formulary (TN Health Plan),CHIR_IDrecV9Iw8f0i9iPXB0-302189-TNOscar and Cigna,CHIR_IDrecV9Iw8f0i9iPXB0-302189-TNOscar and Cigna,recV9Iw8f0i9iPXB0,Only 1 State(s): TN
Oscar and Cigna Express Scripts High Performance Formulary (CA Health Plan),CHIR_IDrecYMNmvk80tSBU2X-301803-CAOscar and Cigna,CHIR_IDrecYMNmvk80tSBU2X-301803-CAOscar and Cigna,recYMNmvk80tSBU2X,Only 1 State(s): CA
Oscar and Cigna Express Scripts High Performance Formulary (PA Health Plan),CHIR_IDrecqcwFXQ0JRL9UiJ-309486-PAOscar and Cigna,CHIR_IDrecqcwFXQ0JRL9UiJ-309486-PAOscar and Cigna,recqcwFXQ0JRL9UiJ,Only 1 State(s): PA
Oscar and Cigna Express Scripts High Performance Formulary (AZ Health Plan),CHIR_IDrec8XHi8XHpAmgl09-301799-AZOscar and Cigna,CHIR_IDrec8XHi8XHpAmgl09-301799-AZOscar and Cigna,rec8XHi8XHpAmgl09,Only 1 State(s): AZ
Oscar and Cigna Express Scripts High Performance Formulary (CT Health Plan),CHIR_IDrecavtiNO8tA0sADe-301806-CTOscar and Cigna,CHIR_IDrecavtiNO8tA0sADe-301806-CTOscar and Cigna,recavtiNO8tA0sADe,Only 1 State(s): CT
Oscar and Cigna Express Scripts High Performance Formulary (MO Health Plan),CHIR_IDrecx8Okyot4wI4XYs-301935-MOOscar and Cigna,CHIR_IDrecx8Okyot4wI4XYs-301935-MOOscar and Cigna,recx8Okyot4wI4XYs,Only 1 State(s): MO
Cigna National Preferred 5-Tier Specialty Prescription Drug List (DMHC) (CA Health Plan),CHIR_IDreca9XzQkdTf86EUo-316794-CACigna National ,CHIR_IDreca9XzQkdTf86EUo-316794-CACigna National ,reca9XzQkdTf86EUo,Only 1 State(s): CA
Cigna National Preferred 5-Tier Specialty Prescription Drug List (Health Plan),CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National ,CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National ,recJUkHMhy9wFydai,All States
Cigna National Preferred 5-Tier Specialty Prescription Drug List (CDI) (CA Health Plan),CHIR_IDrecZp60qazvEOCOIe-316793-CACigna National ,CHIR_IDrecZp60qazvEOCOIe-316793-CACigna National ,recZp60qazvEOCOIe,Only 1 State(s): CA
Cigna National Preferred 4-Tier Specialty Prescription Drug List (DMHC) (CA Health Plan),CHIR_IDrecwKFCq7JLOuT0Bi-316789-CACigna National ,CHIR_IDrecwKFCq7JLOuT0Bi-316789-CACigna National ,recwKFCq7JLOuT0Bi,Only 1 State(s): CA
Cigna National Preferred 5-Tier Prescription Drug List (DMHC) (CA Health Plan),CHIR_IDrecusdGJp8vXTL9qw-316792-CACigna National ,CHIR_IDrecusdGJp8vXTL9qw-316792-CACigna National ,recusdGJp8vXTL9qw,Only 1 State(s): CA
