Document Title,uuid_formula,UUID_dupe,airtable_record_id,New State Grouping
Cigna Legacy (Standard) 3-Tier Prescription Drug List (Health Plan),CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S,CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S,recrSc38zq5JJ64ol,All States
Cigna Standard 4-Tier Prescription Drug List (Health Plan),CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard ,CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard ,recSlQXSljxNDjwxP,All States
Cigna Specialty Value 4-Tier Prescription Drug List (Health Plan),CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty,CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty,recvhsz05Tb03gEcw,All States
Cigna Performance 3-Tier Prescription Drug List (Health Plan),CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan,CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan,recJd5kD6r5l5kdhh,All States
Cigna Legacy (Performance) 4-Tier Prescription Drug List (Health Plan),CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P,CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P,rec12S6n89bo0pR1H,All States
Cigna Standard 3-Tier Prescription Drug List (Health Plan),CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard ,CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard ,recl2FUMKjFmSeaLa,All States
Cigna Advantage 3-Tier Prescription Drug List (Health Plan),CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage,CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage,rech1mbeY7bu1smZ5,All States
Cigna Legacy (Performance) 3-Tier Prescription Drug List (Health Plan),CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P,CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P,recQ40lXEB3LnrTmV,All States
Cigna Legacy (Standard) 4-Tier Prescription Drug List (Health Plan),CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S,CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S,receJlrorRcUoCUC9,All States
Cigna Value 3-Tier Prescription Drug List (Health Plan),CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T,CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T,recbPqYntfpVpF3T2,All States
Standard and Performance Preventive Generics Drug List (Health Plan),CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe,CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe,recuANwgvoPFcpMrm,All States
Cigna Specialty Legacy (Standard) 4-Tier Prescription Drug List (Health Plan),CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty,CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty,recLhChQdPINtnJPv,All States
Value and Advantage Preventive Generics Drug List (Health Plan),CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan,CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan,recHL5acZB4MwThLP,All States
Legacy (Standard) and Legacy (Performance) Preventive Generics Drug List (Health Plan),CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar,CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar,recIjID5czWzbR1pX,All States
Standard Plan Generics and Preferred Brands Drug List for the National Preferred Drug List (Health Plan),CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G,CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G,rec9TSEoHzm9YHyfK,All States
Standard Preventive Drug List (Health Plan),CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven,CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven,reccbA3CpSYRKM9Bt,All States
Diabetes Equipment and Supplies (non-therapeutic/adjunctive CGMs & CGMs with implantable interstitial glucose sensors) ,CHIR_IDrecXCdF3VefSxpHmy-202743-AKDiabetes Equipm,CHIR_IDrecXCdF3VefSxpHmy-202743-AKDiabetes Equipm,recXCdF3VefSxpHmy,All States
Diabetes Equipment and Supplies (therapeutic/non-adjunctive CGMs),CHIR_IDrec0nlcBknqn5IS6A-202743-AKDiabetes Equipm,CHIR_IDrec0nlcBknqn5IS6A-202743-AKDiabetes Equipm,rec0nlcBknqn5IS6A,All States
Diabetes Continuous Glucose Monitoring,CHIR_IDrecsPjQpRyXl7cnMD-284481-AKDiabetes Contin,CHIR_IDrecsPjQpRyXl7cnMD-284481-AKDiabetes Contin,recsPjQpRyXl7cnMD,All States
Diabetes Omnipod,CHIR_IDrec0Repy4gD19vNd9-306110-AKDiabetes Omnipo,CHIR_IDrec0Repy4gD19vNd9-306110-AKDiabetes Omnipo,rec0Repy4gD19vNd9,All States
Formulary Exception Criteria for Non-Covered Products,CHIR_IDrecxvNal3RjbYbQZx-271682-AKFormulary Excep,CHIR_IDrecxvNal3RjbYbQZx-271682-AKFormulary Excep,recxvNal3RjbYbQZx,All States
Cigna Total Savings 3-Tier Prescription Drug List (CDI) (CA Health Plan),CHIR_IDrec71qAIVXcOAfMpZ-268517-CACigna Total Sav,CHIR_IDrec71qAIVXcOAfMpZ-268517-CACigna Total Sav,rec71qAIVXcOAfMpZ,Only 1 State(s): CA
Cigna Standard 4-Tier Prescription Drug List (DHMC) (CA Health Plan),CHIR_IDreck4PQrMrU1HNgAH-268484-CACigna Standard ,CHIR_IDreck4PQrMrU1HNgAH-268484-CACigna Standard ,reck4PQrMrU1HNgAH,Only 1 State(s): CA
Cigna National Preferred 5-Tier Prescription Drug List (CDI) (CA Health Plan),CHIR_IDrechaSNIScHw2dU0W-316791-CACigna National ,CHIR_IDrechaSNIScHw2dU0W-316791-CACigna National ,rechaSNIScHw2dU0W,Only 1 State(s): CA
Value and Advantage Preventive Drug List (Health Plan),CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan,CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan,recy6gS3Y8oF9iVFd,All States
Diabetic Supply Preventive Medication List (Health Plan),CHIR_IDrecosNKYgvw2d5kPT-290285-AKDiabetic Supply,CHIR_IDrecosNKYgvw2d5kPT-290285-AKDiabetic Supply,recosNKYgvw2d5kPT,All States
Legacy (Standard) and Legacy (Performance) Preventive Drug List (Health Plan),CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar,CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar,receaPYwYqvhwfdbY,All States
Legacy Diabetic Supply Preventive Medication List (Health Plan),CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic,CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic,rec9lezhyppiduMS8,All States
Standard and Performance Preventive Drug List (Health Plan),CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe,CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe,recz2TOibqNJzGEDX,All States
Cigna National Preferred Prescription Drug List (Health Plan),CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National ,CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National ,recRDqVEDerLMP7jF,All States
Cigna National Preferred 4-Tier Prescription Drug List (Health Plan),CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National ,CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National ,rec69p4dVMkC7nJwK,All States
Cigna National Preferred 4-Tier Specialty Prescription Drug List (Health Plan),CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National ,CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National ,recbkHlq7SP7Ogt7i,All States
Cigna National Preferred 5-Tier Prescription Drug List (Health Plan),CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National ,CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National ,recvcjPMepVksvuhe,All States
Cigna National Preferred 6-Tier Prescription Drug List (Health Plan),CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ,CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ,recb56e5cJCQ6Hmf5,All States
Standard Plus Preventive Drug List (Health Plan),CHIR_IDrecMwKKuVNA7J7R3e-268536-AKStandard Plus P,,recMwKKuVNA7J7R3e,All States
Diabetes Equipment and Supplies,CHIR_IDrecrD7QiY464zp04G-202743-AKDiabetes Equipm,CHIR_IDrecrD7QiY464zp04G-202743-AKDiabetes Equipm,recrD7QiY464zp04G,All States
Large Group Care Choices Medication Guide (FL Health Plan),CHIR_IDrecmfjO2kbN9vzFRn-310802-FLLarge Group Car,CHIR_IDrecmfjO2kbN9vzFRn-310802-FLLarge Group Car,recmfjO2kbN9vzFRn,Only 1 State(s): FL
Care Choices Medication Guide (FL Health Plan),CHIR_IDrecntLNRSt8KOEFDv-137328-AKCare Choices Me,CHIR_IDrecntLNRSt8KOEFDv-137328-AKCare Choices Me,recntLNRSt8KOEFDv,All States
Care Choices for HSA Plans Medication Guide (FL Health Plan),CHIR_IDrecyovVyrzy1CxHHQ-154686-AKCare Choices fo,CHIR_IDrecyovVyrzy1CxHHQ-154686-AKCare Choices fo,recyovVyrzy1CxHHQ,All States
Condition Care Rx Program Drug List (FL Health Plan),CHIR_IDrecbbX93MtYy9DwSa-269772-AKCondition Care ,CHIR_IDrecbbX93MtYy9DwSa-269772-AKCondition Care ,recbbX93MtYy9DwSa,All States
NetResults A-Series Lite Medication Guide (FL Health Plan),CHIR_IDrecDAwCOhOGFxpTBF-261159-AKNetResults A-Se,CHIR_IDrecDAwCOhOGFxpTBF-261159-AKNetResults A-Se,recDAwCOhOGFxpTBF,All States
NetResults A-Series Medication Guide (FL Health Plan),CHIR_IDrecIieQ6iXPZy3ejk-261161-AKNetResults A-Se,CHIR_IDrecIieQ6iXPZy3ejk-261161-AKNetResults A-Se,recIieQ6iXPZy3ejk,All States
Continuous Glucose Monitoring (CGM) (Commercial),CHIR_IDrecTAjPA30Ucfo7va-305864-FLContinuous Gluc,CHIR_IDrecTAjPA30Ucfo7va-305864-FLContinuous Gluc,recTAjPA30Ucfo7va,Only 1 State(s): FL
Responsible Quantity Program,CHIR_IDrec9QgAyYuB6BEUSd-247456-FLResponsible Qua,CHIR_IDrec9QgAyYuB6BEUSd-247456-FLResponsible Qua,rec9QgAyYuB6BEUSd,Only 1 State(s): FL
Generic Choices Medication Guide (FL Health Plan),CHIR_IDrecDu0lunmuQ38R9D-136930-AKGeneric Choices,CHIR_IDrecDu0lunmuQ38R9D-136930-AKGeneric Choices,recDu0lunmuQ38R9D,All States
Large Group ValueScript Rx Medication Guide (FL Health Plan),CHIR_IDrecCaIH7PomONSHnG-310810-FLLarge Group Val,CHIR_IDrecCaIH7PomONSHnG-310810-FLLarge Group Val,recCaIH7PomONSHnG,Only 1 State(s): FL
Open Medication Guide (Health Plan),CHIR_IDrecVvia4Pu6VHM9Gu-136815-AKOpen Medication,CHIR_IDrecVvia4Pu6VHM9Gu-136815-AKOpen Medication,recVvia4Pu6VHM9Gu,All States
Responsible Quantity Program,CHIR_IDrecWtOegHJlk0tuCM-194831-FLResponsible Qua,CHIR_IDrecWtOegHJlk0tuCM-194831-FLResponsible Qua,recWtOegHJlk0tuCM,Only 1 State(s): FL
ValueScript Rx for Simple Choice Plans 4-Tier Medication Guide (Commercial),CHIR_IDrecPJJp9aJsZKSH2G-154688-FLValueScript Rx ,CHIR_IDrecPJJp9aJsZKSH2G-154688-FLValueScript Rx ,recPJJp9aJsZKSH2G,Only 1 State(s): FL
ValueScript Rx Medication Drug Guide (FL Health Plan),CHIR_IDrectPk81cFOUvkjZV-137327-AKValueScript Rx ,CHIR_IDrectPk81cFOUvkjZV-137327-AKValueScript Rx ,rectPk81cFOUvkjZV,All States
Closed Medication Guide (Health Plan),CHIR_IDrecjrAjcPKtKkec7x-136816-AKClosed Medicati,CHIR_IDrecjrAjcPKtKkec7x-136816-AKClosed Medicati,recjrAjcPKtKkec7x,All States
Care Choices for Simple Choices Medication Guide (FL Health Plan),CHIR_IDrecmxsU5Z2OoJa5wx-309612-AKCare Choices fo,CHIR_IDrecmxsU5Z2OoJa5wx-309612-AKCare Choices fo,recmxsU5Z2OoJa5wx,All States
Added Choice Plan Formulary with Specialty Drug Tier (HI),CHIR_IDrecWSRSS3FPjapozA-230638-HIAdded Choice Pl,CHIR_IDrecWSRSS3FPjapozA-230638-HIAdded Choice Pl,recWSRSS3FPjapozA,Only 1 State(s): HI
KPIC POS Drug Formulary with Specialty Drug Tier (Health Plan) (CA),CHIR_IDrecNMutqfOgm8IPgy-187210-CAKPIC POS Drug F,CHIR_IDrecNMutqfOgm8IPgy-187210-CAKPIC POS Drug F,recNMutqfOgm8IPgy,Only 1 State(s): CA
KPIC Point-of-Service (POS) Drug Formulary (Health Plan) (CA),CHIR_IDrecnByfqX6jl55JzG-196782-CAKPIC Point-of-S,CHIR_IDrecnByfqX6jl55JzG-196782-CAKPIC Point-of-S,recnByfqX6jl55JzG,Only 1 State(s): CA
"Premium Standard Formulary (MD, VA, D.C.)",CHIR_IDrecPLEqYpPL7k0nDT-372985-DCPremium Standar,CHIR_IDrecPLEqYpPL7k0nDT-372985-DCPremium Standar,recPLEqYpPL7k0nDT,"Only 3 State(s): DC, MD, VA"
Access PPO/SEBB Large Employer Groups 4-Tier Drug Formulary (Commercial) (WA),CHIR_IDrec3HQSC3J7eARoJZ-200070-WAAccess PPO/SEBB,CHIR_IDrec3HQSC3J7eARoJZ-200070-WAAccess PPO/SEBB,rec3HQSC3J7eARoJZ,Only 1 State(s): WA
Access/Alliance/Alliant Plus/Core/Elect/Omni/Options 3-Tier Drug Formulary (Health Plan) (WA),CHIR_IDrec6XkY18NrajcyUl-136874-WAAccess/Alliance,CHIR_IDrec6XkY18NrajcyUl-136874-WAAccess/Alliance,rec6XkY18NrajcyUl,Only 1 State(s): WA
PEBB SoundChoice/PEBB Value/Summit PPO 5-Tier Drug Formulary (Health Plan) (WA),CHIR_IDrecVhAbrYzRv2p7DA-138661-WAPEBB SoundChoic,CHIR_IDrecVhAbrYzRv2p7DA-138661-WAPEBB SoundChoic,recVhAbrYzRv2p7DA,Only 1 State(s): WA
Core/ Access PPO/Connect 4-Tier Drug Formulary (Health Plan) (WA),CHIR_IDrecDkoAM63o54gzgd-138656-WACore/ Access PP,CHIR_IDrecDkoAM63o54gzgd-138656-WACore/ Access PP,recDkoAM63o54gzgd,Only 1 State(s): WA
Kaiser Permanente Georgia Choice Benefit Formulary (PPO),CHIR_IDrec0MsUUM3Nuw9uBN-290245-GAKaiser Permanen,CHIR_IDrec0MsUUM3Nuw9uBN-290245-GAKaiser Permanen,rec0MsUUM3Nuw9uBN,Only 1 State(s): GA
Marketplace Formulary (Commercial) (WA),CHIR_IDrec5KejXXbPSAUPPy-149898-WAMarketplace For,CHIR_IDrec5KejXXbPSAUPPy-149898-WAMarketplace For,rec5KejXXbPSAUPPy,Only 1 State(s): WA
Marketplace Formulary (Commercial) (OR),CHIR_IDrecbkwrMwOqsqiMsm-137645-ORMarketplace For,CHIR_IDrecbkwrMwOqsqiMsm-137645-ORMarketplace For,recbkwrMwOqsqiMsm,Only 1 State(s): OR
Mid/Large Group 4-Tier Benefit Formulary (Commercial) (GA),CHIR_IDrec29QelpJxN4jr14-153145-GAMid/Large Group,CHIR_IDrec29QelpJxN4jr14-153145-GAMid/Large Group,rec29QelpJxN4jr14,Only 1 State(s): GA
5-Tier Formulary Benefit (Commercial) (GA),CHIR_IDrecCNYHnT4Fmv9otx-149909-GA5-Tier Formular,CHIR_IDrecCNYHnT4Fmv9otx-149909-GA5-Tier Formular,recCNYHnT4Fmv9otx,Only 1 State(s): GA
"Northwest Commercial Formulary (OR, WA)",CHIR_IDrec9A89Q8U5Wx6qqg-149900-ORNorthwest Comme,CHIR_IDrec9A89Q8U5Wx6qqg-149900-ORNorthwest Comme,rec9A89Q8U5Wx6qqg,"Only 2 State(s): OR, WA"
"Northwest Self-Funded Formulary (OR, WA Health Plan)",CHIR_IDrecL9r5ATpLaWSLrF-310310-ORNorthwest Self-,CHIR_IDrecL9r5ATpLaWSLrF-310310-ORNorthwest Self-,recL9r5ATpLaWSLrF,"Only 2 State(s): OR, WA"
"Northwest Specialty Drug List (OR, WA)",CHIR_IDrecXW650hJM8RPrhN-149904-ORNorthwest Speci,CHIR_IDrecXW650hJM8RPrhN-149904-ORNorthwest Speci,recXW650hJM8RPrhN,"Only 2 State(s): OR, WA"
Continuous Glucose Monitor (CGM) (WA Commercial),CHIR_IDrec7ry3c7p1J5BGsH-37396-WAContinuous Gluc,CHIR_IDrec7ry3c7p1J5BGsH-37396-WAContinuous Gluc,rec7ry3c7p1J5BGsH,Only 1 State(s): WA
CGMS Authorization Request Form (WA Commercial),CHIR_IDrecJbe4s9j6sX8fvQ-103525-WACGMS Authorizat,CHIR_IDrecJbe4s9j6sX8fvQ-103525-WACGMS Authorizat,recJbe4s9j6sX8fvQ,Only 1 State(s): WA
KPCO Master PA Criteria (CO),CHIR_IDrecmTtqsKmKSiy0hI-256041-COKPCO Master PA ,CHIR_IDrecmTtqsKmKSiy0hI-256041-COKPCO Master PA ,recmTtqsKmKSiy0hI,Only 1 State(s): CO
Exclusive Provider Organization (EPO)/Deductible EPO (DEPO) Commercial Self-Funded Plans Formulary (Health Plan)(CA),CHIR_IDrecP00FPgbqOFBMu6-191371-CAExclusive Provi,CHIR_IDrecP00FPgbqOFBMu6-191371-CAExclusive Provi,recP00FPgbqOFBMu6,Only 1 State(s): CA
Large Employer Group Drug Formulary with Additional Specialty Tier (2-Tier) (Health Plan) (WA),CHIR_IDrec4ZTU0lc6Lr3Nor-188573-WALarge Employer ,CHIR_IDrec4ZTU0lc6Lr3Nor-188573-WALarge Employer ,rec4ZTU0lc6Lr3Nor,Only 1 State(s): WA
Large Group Alliance/Core 2-Tier Drug Formulary (Health Plan) (WA),CHIR_IDrechFlMnx1V49gBin-138660-WALarge Group All,CHIR_IDrechFlMnx1V49gBin-138660-WALarge Group All,rechFlMnx1V49gBin,Only 1 State(s): WA
KPIC PPO and OOA Indemnity Drug Formulary (Health Plan) (CA),CHIR_IDrecXrRDbDFQdVUhRH-188578-CAKPIC PPO and OO,CHIR_IDrecXrRDbDFQdVUhRH-188578-CAKPIC PPO and OO,recXrRDbDFQdVUhRH,Only 1 State(s): CA
KPIC PPO & OOA with Specialty Drug Tier Formulary 5-Tier (Health Plan) (CA),CHIR_IDrec4w5Wh3qSXknayd-217858-CAKPIC PPO & OOA ,CHIR_IDrec4w5Wh3qSXknayd-217858-CAKPIC PPO & OOA ,rec4w5Wh3qSXknayd,Only 1 State(s): CA
Kaiser Permanente Insurance Company (KPIC) POS/PPO Plans Covered Drug List (CO),CHIR_IDrec7rvu9bfo7wD69K-149916-COKaiser Permanen,CHIR_IDrec7rvu9bfo7wD69K-149916-COKaiser Permanen,rec7rvu9bfo7wD69K,Only 1 State(s): CO
"Flexible Choice, 2TPOS OON Tier and Out-of-Area PPO Formulary (Health Plan) (D.C., MD, VA)",CHIR_IDrec225WSeEtphcJQk-290091-DCFlexible Choice,CHIR_IDrec225WSeEtphcJQk-290091-DCFlexible Choice,rec225WSeEtphcJQk,"Only 3 State(s): DC, MD, VA"
HMO Formulary (Commercial) (GA),CHIR_IDrecOZdTybbOgEG5fI-149934-GAHMO Formulary (,CHIR_IDrecOZdTybbOgEG5fI-149934-GAHMO Formulary (,recOZdTybbOgEG5fI,Only 1 State(s): GA
"Master PA Criteria (POS, PPO, OOA)",CHIR_IDrecFdxmj60bp2uLU8-366533-CAMaster PA Crite,CHIR_IDrecFdxmj60bp2uLU8-366533-CAMaster PA Crite,recFdxmj60bp2uLU8,Only 1 State(s): CA
Premium Standard Formulary (CO Health Plan),CHIR_IDrec2nIDCubGNKdP67-316878-COPremium Standar,CHIR_IDrec2nIDCubGNKdP67-316878-COPremium Standar,rec2nIDCubGNKdP67,Only 1 State(s): CO
6-Tier Oscar Individual Plan Formulary (KS Health Plan),CHIR_IDrec3Wyv6mfHmcEUzT-301929-KS6-Tier Oscar In,CHIR_IDrec3Wyv6mfHmcEUzT-301929-KS6-Tier Oscar In,rec3Wyv6mfHmcEUzT,Only 1 State(s): KS
6-Tier Oscar Individual Plan Formulary (OK Health Plan),CHIR_IDrecck94yHr9dEyC82-302184-OK6-Tier Oscar In,CHIR_IDrecck94yHr9dEyC82-302184-OK6-Tier Oscar In,recck94yHr9dEyC82,Only 1 State(s): OK
4-Tier Oscar Individual Plan Formulary (NC Health Plan),CHIR_IDrecB9zAxpvBBHSCO6-342752-NC4-Tier Oscar In,CHIR_IDrecB9zAxpvBBHSCO6-342752-NC4-Tier Oscar In,recB9zAxpvBBHSCO6,Only 1 State(s): NC
4-Tier Oscar Individual Plan Formulary (IA Health Plan),CHIR_IDrecStELh0Fs1ogRD0-342765-IA4-Tier Oscar In,CHIR_IDrecStELh0Fs1ogRD0-342765-IA4-Tier Oscar In,recStELh0Fs1ogRD0,Only 1 State(s): IA
6-Tier Oscar Individual and Family Plan Formulary (OH Health Plan),CHIR_IDrecIwiLLuw3vqpm7t-264055-OH6-Tier Oscar In,CHIR_IDrecIwiLLuw3vqpm7t-264055-OH6-Tier Oscar In,recIwiLLuw3vqpm7t,Only 1 State(s): OH
6-Tier Oscar Individual Plan Formulary (PA Health Plan),CHIR_IDrecCkktpNvhru5LJg-302185-PA6-Tier Oscar In,CHIR_IDrecCkktpNvhru5LJg-302185-PA6-Tier Oscar In,recCkktpNvhru5LJg,Only 1 State(s): PA
6-Tier Oscar Individual Plan Formulary (TN Health Plan),CHIR_IDrec5NobvDYhZDMrHg-302186-TN6-Tier Oscar In,CHIR_IDrec5NobvDYhZDMrHg-302186-TN6-Tier Oscar In,rec5NobvDYhZDMrHg,Only 1 State(s): TN
6-Tier Oscar Individual Plan Formulary (IA Health Plan),CHIR_IDrec2x9yNPgi42U3Kr-301927-IA6-Tier Oscar In,CHIR_IDrec2x9yNPgi42U3Kr-301927-IA6-Tier Oscar In,rec2x9yNPgi42U3Kr,Only 1 State(s): IA
6-Tier Oscar Individual Plan Formulary (VA Health Plan),CHIR_IDrech05bMGBDcDAVbV-302188-VA6-Tier Oscar In,CHIR_IDrech05bMGBDcDAVbV-302188-VA6-Tier Oscar In,rech05bMGBDcDAVbV,Only 1 State(s): VA
6-Tier Oscar Individual Plan Formulary (NE Health Plan),CHIR_IDrecFWCUZNM8oSRxf1-301936-NE6-Tier Oscar In,CHIR_IDrecFWCUZNM8oSRxf1-301936-NE6-Tier Oscar In,recFWCUZNM8oSRxf1,Only 1 State(s): NE
4-Tier Oscar Individual Plan Formulary (KS Health Plan),CHIR_IDrec7QhTfpbbw1f5nR-342766-KS4-Tier Oscar In,CHIR_IDrec7QhTfpbbw1f5nR-342766-KS4-Tier Oscar In,rec7QhTfpbbw1f5nR,Only 1 State(s): KS
4-Tier Oscar Individual Plan Formulary (AZ Health Plan),CHIR_IDrecUf7qatosiD09ht-342761-AZ4-Tier Oscar In,CHIR_IDrecUf7qatosiD09ht-342761-AZ4-Tier Oscar In,recUf7qatosiD09ht,Only 1 State(s): AZ
4-Tier Oscar Individual Plan Formulary (VA Health Plan),CHIR_IDrecdTylUmulVc8CNT-342760-VA4-Tier Oscar In,CHIR_IDrecdTylUmulVc8CNT-342760-VA4-Tier Oscar In,recdTylUmulVc8CNT,Only 1 State(s): VA
Oscar For Business No Family Planning (NY Health Plan),CHIR_IDrec78JbgzJp7SpZKW-302182-NYOscar For Busin,CHIR_IDrec78JbgzJp7SpZKW-302182-NYOscar For Busin,rec78JbgzJp7SpZKW,Only 1 State(s): NY
6-Tier Oscar Individual Plan Formulary (GA Health Plan),CHIR_IDrec0oFUFrGvZNCAaO-301921-GA6-Tier Oscar In,CHIR_IDrec0oFUFrGvZNCAaO-301921-GA6-Tier Oscar In,rec0oFUFrGvZNCAaO,Only 1 State(s): GA
6-Tier Oscar Individual Plan Formulary (IL Health Plan),CHIR_IDrecTxLw8MUX4oaEpU-301924-IL6-Tier Oscar In,CHIR_IDrecTxLw8MUX4oaEpU-301924-IL6-Tier Oscar In,recTxLw8MUX4oaEpU,Only 1 State(s): IL
6-Tier Oscar Individual Plan Formulary (MO Health Plan),CHIR_IDrecbQPM1sHJHkMZmv-301934-MO6-Tier Oscar In,CHIR_IDrecbQPM1sHJHkMZmv-301934-MO6-Tier Oscar In,recbQPM1sHJHkMZmv,Only 1 State(s): MO
Oscar Business & Individual and Small Group Plan Formulary (NY Health Plan),CHIR_IDrecPyjcLjOYgxZSeI-302181-NYOscar Business ,CHIR_IDrecPyjcLjOYgxZSeI-302181-NYOscar Business ,recPyjcLjOYgxZSeI,Only 1 State(s): NY
6-Tier Oscar Individual Plan Formulary (TX Health Plan),CHIR_IDrec2OCzHXUx1MNPjR-302187-TX6-Tier Oscar In,CHIR_IDrec2OCzHXUx1MNPjR-302187-TX6-Tier Oscar In,rec2OCzHXUx1MNPjR,Only 1 State(s): TX
4-Tier Oscar Individual Plan Formulary (NE Health Plan),CHIR_IDrecxVqNNL7jcmHCAi-342770-NE4-Tier Oscar In,CHIR_IDrecxVqNNL7jcmHCAi-342770-NE4-Tier Oscar In,recxVqNNL7jcmHCAi,Only 1 State(s): NE
Oscar Individual and Small Group Plan Formulary (NJ Health Plan),CHIR_IDrecdmtMY4Mxw3TuOr-301937-NJOscar Individua,CHIR_IDrecdmtMY4Mxw3TuOr-301937-NJOscar Individua,recdmtMY4Mxw3TuOr,Only 1 State(s): NJ
6-Tier Oscar Individual Plan Formulary (NC Health Plan),CHIR_IDrecaH05Js9qNxlBs9-302183-NC6-Tier Oscar In,CHIR_IDrecaH05Js9qNxlBs9-302183-NC6-Tier Oscar In,recaH05Js9qNxlBs9,Only 1 State(s): NC
4-Tier Oscar Individual Plan Formulary (MO Health Plan),CHIR_IDrec6u4FaUfgr4OFhq-342769-MO4-Tier Oscar In,CHIR_IDrec6u4FaUfgr4OFhq-342769-MO4-Tier Oscar In,rec6u4FaUfgr4OFhq,Only 1 State(s): MO
4-Tier Oscar Individual Plan Formulary (MI Health Plan),CHIR_IDrecAd3OdR4mMJTLU0-342767-MI4-Tier Oscar In,CHIR_IDrecAd3OdR4mMJTLU0-342767-MI4-Tier Oscar In,recAd3OdR4mMJTLU0,Only 1 State(s): MI
4-Tier Oscar Individual Plan Formulary (TX Health Plan),CHIR_IDrecqhxZo50K974Hx7-342759-TX4-Tier Oscar In,CHIR_IDrecqhxZo50K974Hx7-342759-TX4-Tier Oscar In,recqhxZo50K974Hx7,Only 1 State(s): TX
4-Tier Oscar Individual Plan Formulary (GA Health Plan),CHIR_IDrecLUMCzwgJshOpMt-342763-GA4-Tier Oscar In,CHIR_IDrecLUMCzwgJshOpMt-342763-GA4-Tier Oscar In,recLUMCzwgJshOpMt,Only 1 State(s): GA
4-Tier Oscar Individual Plan Formulary (FL Health Plan),CHIR_IDrecOT2KASM9Cwo4Zz-342762-FL4-Tier Oscar In,CHIR_IDrecOT2KASM9Cwo4Zz-342762-FL4-Tier Oscar In,recOT2KASM9Cwo4Zz,Only 1 State(s): FL
4-Tier Oscar Individual Plan Formulary (IL Health Plan),CHIR_IDrecksKr4Nx1H8i47y-342764-IL4-Tier Oscar In,CHIR_IDrecksKr4Nx1H8i47y-342764-IL4-Tier Oscar In,recksKr4Nx1H8i47y,Only 1 State(s): IL
