Document Title,Policy Identifier,duplicate_flagger,Policy subpart,Source,Payer,Plan Bucket,PBM,Plan Types,States,Number of States,Plan Types and States,Document Type,Categories,Link to Revision History,Link to PDF Formulary (Broken),Policy Last Updated,Status,Review date,Next review date (payer defined),Next review date (est.), Medical Covered Lives,Plan Type(s),CGMs Covered,Device Type Covered (from CGMs Covered),CGMs Preferred,Device Type Preferred (from CGMs Preferred),AIDs Covered,AIDs Preferred,CGM Coverage/Distribution Path,Diabetes Diagnosis,Multiple insulin injections daily or insulin pump use,Inadequate glycemic control,Episodes of hyperglycemia,Episodes of hypoglycemia,Hypoglycemia unawareness,Demonstrated understanding of and willingness to use technology,Age criteria,Self monitoring of glucose levels,Reference to clinical treatment guidelines,Compatability override,Replacement criteria,Renewal criteria,Policy includes coding recommendations,Summary of criteria,Review Complete,Sensor quantity limit,Review Comments,CHIR Review Fields Last Modified,AIDs Excluded,CGMs Excluded,Device Type Excluded,UM Prior Auth.,UM Step Therapy,UM QL,PA approval length,Clinical guideline or PA vendor referenced,Policy document is used by other focus payers (check all),Policy document is used by other commercial payers (list all),Policy document is used by at least one Medicaid MCO,uuid_formula,Link to Policy/Formulary PDF,cgm_grouping,Payer_Grouping_Copy,UUID_dupe,Implanted_type,CGM_count,Number of Approved CGMs,Formulary Grouper,Market Segment,Calculated Medical Covered Lives,ADA Standard of Care Assessment,Most recent year of clinical standards/evidence referenced,AID Criteria Only,Device Preference Discrepancy Flag,No CGM Covered,airtable_record_id,UPLOADED - Policy/Formulary PDF,Include/Exclude,Glycemic control challenges,Implantable device is investigational,State Coverage Grouping Additional Label
Advanced Control Choice Plan Formulary (Health Plan),341588,non_duplicate,,Formulary Database,Aetna,,CVS Caremark,Health Plan,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY",51,"Health Plan: [AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY]",Preventive services document,,https://portal.policyreporter.com/policy-updates/341588,https://portal.policyreporter.com/geturlupdate.php?urlid=%1341588&updateid=%24881563,5/3/2025,,,,,,Unspecified,"Dexcom G6 rtCGM,Dexcom G7 rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM","Dexcom G6 rtCGM,Dexcom G7 rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM","Omnipod 5,t:slim X2 with control-IQ",Omnipod 5,,,,,,,,,,,,,,,,,Final,,,5/19/2025 3:36pm,,"Eversense E3 rtCGM,Eversense 365,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM","Implantable rtCGM,Implantable rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM",,,,,,,,,CHIR_IDrecB26CXyDh8l6Vq1-341588-AKAdvanced Contro,https://fm.formularynavigator.com/FBO/41/2025_Advanced_Control_Choice_Plan.pdf,Dexcom only,Aetna,CHIR_IDrecB26CXyDh8l6Vq1-341588-AKAdvanced Contro,non-implanted only,2,2 - 3,Advanced Control Choice Plan,Unclear,,,,,Match of Coverage and Preference,,recB26CXyDh8l6Vq1,Advanced Control Choice Plan Formulary (Health Plan)_recB26CXyDh8l6Vq1.pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757520000000/0rrzR_TM5L7aODSj1sAUxg/0ObbX3deYYWxd6rQYMsCJKPwEMQT2bypZNlMxOSDxLYoE4Oq4MJURmcYrnfnRbTkX9qcSxU11pHvqaoHkAyhFuBl0WQ0Cy6dVOcHoPGSxmmyrcVSXNYpE-QVT8OG05QY8BSMV32hUkq0fn_guLzpd7vb8Lp_yu2h9Ba0Z7bGnlaPTyMsGSVsiD0cLUI94ytFmHab5gi3JELYpHJwZrqNyLiSR4RuKdc45YCC7xVm7a4/Wjo84qFs4tHhbiNAbVQT-dqV8dDhlf1iFvUPm5NXXz4),,,,All States
Aetna Standard Opt Out Plan Pharmacy Drug Guide (Health Plan),300608,non_duplicate,,Formulary Database,Aetna,,CVS Caremark,Health Plan,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY",51,"Health Plan: [AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY]",Formulary,,https://portal.policyreporter.com/policy-updates/300608,https://portal.policyreporter.com/geturlupdate.php?urlid=%1300608&updateid=%24877760,5/2/2025,,,,,,Unspecified,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Eversense 365,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Implantable rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM,Transcutaneous rtCGM","Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM",Omnipod 5,Omnipod 5,,,,,,,,,,,,,,,,,Final,,,5/19/2025 3:37pm,,,,,,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Eversense 365,Abbott FreeStyle Libre 3 Plus rtCGM,Eversense E3 rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM",,,,,,CHIR_IDrecpH7DQtagVRUhw4-300608-AKAetna Standard ,https://fm.formularynavigator.com/FBO/41/2025_Standard_Opt_Out_Plan_Aetna_Innovation_Health.pdf,both Dexcom and FreeStyle,Aetna,CHIR_IDrecpH7DQtagVRUhw4-300608-AKAetna Standard ,both implanted and non-implanted,7,6 - 7,Aetna Standard Plan,Unclear,,,,,Fewer Preferred Devices,,recpH7DQtagVRUhw4,Aetna Standard Opt Out Plan Pharmacy Drug Guide (Health Plan)_recpH7DQtagVRUhw4.pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757520000000/eJRemSYZ6KCu0ew4CNVEzw/FBlCMZwHVYEvCQG70Ic9adEaGRh9Zxgu8m8Pgtzhc1g1_bvUXGg_h83tBPA8tjr6pE0gsC8NZTFIhX4EC1pZ_ewUbo2wtnZH8PIlGVhi7AeLtSHeocVMB0qnPubxsfO1XEC1d1MRqFxtSh48cNIGN4tkmxeM84XSz0H95kKFHgTSjhwHNYuc8YotE2S2ev_ZQG619XizxYO64a-SiTenbX3eZzWyjJoW5cTril1W3FA/Mu496qdHcnqD4W2YSGLHZqjxCGy90COndR2qfGzDhbQ),,,,All States
Standard Control Choice Plan Drug List (Health Plan),341596,non_duplicate,,Formulary Database,Aetna,,CVS Caremark,Health Plan,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY",51,"Health Plan: [AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY]",Formulary,,https://portal.policyreporter.com/policy-updates/341596,https://portal.policyreporter.com/geturlupdate.php?urlid=%1341596&updateid=%24881533,5/3/2025,,,,,,Unspecified,"Dexcom G6 rtCGM,Dexcom G7 rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM","Dexcom G6 rtCGM,Dexcom G7 rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM",Omnipod 5,Omnipod 5,,,,,,,,,,,,,,,,,Final,,,5/19/2025 3:38pm,Mobi,"Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM,Eversense E3 rtCGM,Eversense 365","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM,Transcutaneous rtCGM,Implantable rtCGM,Implantable rtCGM",,,,,,,,,CHIR_IDrecLVjkKWJGLYeT58-341596-AKStandard Contro,https://fm.formularynavigator.com/FBO/41/2025_Standard_Control_Choice_Plan.pdf,Dexcom only,Aetna,CHIR_IDrecLVjkKWJGLYeT58-341596-AKStandard Contro,non-implanted only,2,2 - 3,Standard Control Choice Plan,Unclear,,,,,Match of Coverage and Preference,,recLVjkKWJGLYeT58,Standard Control Choice Plan Drug List (Health Plan)_recLVjkKWJGLYeT58.pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757520000000/mzy5n8Zdp4LPMIJdbEWzkQ/G2t143rsLuXToyWdyA0ojpJ-ncBGaKShODwdWE6uhQKeAVyTr9XVzVp7GxJLRRdO4iNkfBJqf3WHkTrpYzw5i8bRqqxsm1ZfMDqwUC26wgGCtJ4m_sNQsOiBvL5Cvo3MQiX5h2Fur9LTsoHdB7YW9ovwLfExF5KzCXGUtfij55IgfoFGoiULQR_oRDjyDhKQd1n7isCMr--HVGmHi08DgzK8SGKkTqxyIqYhBIR6ieU/zIK5b7KmksMxuXrIN3KRLK0srUcI9wH6ofDh-G3ZE10),,,,All States
Standard Control Plan Pharmacy Drug Guide (Health Plan),315260,non_duplicate,,Formulary Database,Aetna,,CVS Caremark,Health Plan,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY",51,"Health Plan: [AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY]",Formulary,,https://portal.policyreporter.com/policy-updates/315260,https://portal.policyreporter.com/geturlupdate.php?urlid=%1315260&updateid=%24881544,5/3/2025,,,,,,Unspecified,"Dexcom G6 rtCGM,Dexcom G7 rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM","Dexcom G6 rtCGM,Dexcom G7 rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM","Omnipod 5,Mobi,iLet",Omnipod 5,,,,,,,,,,,,,,,,,Final,,,5/19/2025 3:38pm,,"Eversense 365,Eversense E3 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM","Implantable rtCGM,Implantable rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM,Transcutaneous rtCGM",,,,,,,,,CHIR_IDrecHuqUEyqll1D7Mf-315260-AKStandard Contro,https://fm.formularynavigator.com/FBO/41/2025_Standard_Control_Plan.pdf,Dexcom only,Aetna,CHIR_IDrecHuqUEyqll1D7Mf-315260-AKStandard Contro,non-implanted only,2,2 - 3,Standard Control Plan,Unclear,,,,,Match of Coverage and Preference,,recHuqUEyqll1D7Mf,Standard Control Plan Pharmacy Drug Guide (Health Plan)_recHuqUEyqll1D7Mf.pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757520000000/z-xjWGNG3Giou9KaB47u9A/VpplqgygzuQIyBY-mzGwm97AvldBgw3Pd0giaYYuOwLCz2SuZvKVgaopM_ySDXzuM6bMYmg2lDo2fbq3rKxhxc8odOX5m953cdGwG1dPt2pxF1WeLZDd5kkDcNbhhr_VtFcpiVuGoAz63qrukn8_DkL9rAo8c3dJjKRWo1sGHyoYtnGgkazo-6On_65GwQmEltAhYZg30gTu_fPqvtRTSnGWxJ1cYpjUtXvE4Iee3KE/w2148k8N0UR-Sb8Nt-Ppf7voKY54QO3Z0U5UQEB2aoo),,,,All States
Standard Plan Preferred Drug List (Health Plan),191415,non_duplicate,,Formulary Database,Aetna,,CVS Caremark,Health Plan,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY",51,"Health Plan: [AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY]",Formulary,,https://portal.policyreporter.com/policy-updates/191415,https://portal.policyreporter.com/geturlupdate.php?urlid=%1191415&updateid=%24881028,5/3/2025,,,,,,Unspecified,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Eversense 365,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 3 rtCGM,Medtronic Guardian 4 rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Implantable rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM,Transcutaneous rtCGM,Transcutaneous rtCGM","Dexcom G6 rtCGM,Dexcom G7 rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM","Omnipod 5,Minimed 630G,Mobi",,,,,,,,,,,,,,,,,,Final,,,5/29/2025 12:16pm,,,,,,,,,,,,CHIR_IDrecaNmGxleRLQyfPo-191415-AKStandard Plan P,https://fm.formularynavigator.com/FBO/41/2025_Aetna_Standard_Plan.pdf,both Dexcom and FreeStyle,Aetna,CHIR_IDrecaNmGxleRLQyfPo-191415-AKStandard Plan P,both implanted and non-implanted,9,8 - 9,Aetna Preventive Drug List,Unclear,,,,,Fewer Preferred Devices,,recaNmGxleRLQyfPo,Standard Plan Preferred Drug List (Health Plan)_recaNmGxleRLQyfPo.pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757520000000/rPzgSpKnLxoUzV8187dvjw/6uQgmwcKbaWPsBdlbwBj2JKy0ZkuptPwmTuquptwwu8CWd4FRpwv8IOz8FsPwIVMfIe_1xnBS4cNTR1L_lhBYN2859bksIsa96Nu-BrYahs7Ovim1uuI5p7LFq18n2t-tdNHDVMivh9Kc2LvGNlNKNG1ilFZdI6wjKqWtq07AHHHW6DEc_t9vqOsEodm_EwXALuA2ztcww2orFjzGilDaIqncV_a6WjjH1_NS25vUAE/bYXiOUpwctFHWXr02EIc0dKDdGvJuOZbRQ2kyZTHDLE),,,,All States
Innovation Health Standard Plan Pharmacy Drug Guide (Health Plan),310574,non_duplicate,,Formulary Database,Aetna,,CVS Caremark,Health Plan,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY",51,"Health Plan: [AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY]",Formulary,,https://portal.policyreporter.com/policy-updates/310574,https://portal.policyreporter.com/geturlupdate.php?urlid=%1310574&updateid=%24877482,5/2/2025,,,,,,Unspecified,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Eversense 365,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM,Medtronic Guardian 3 rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Implantable rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM,Transcutaneous rtCGM,Transcutaneous rtCGM","Dexcom G6 rtCGM,Dexcom G7 rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM","Minimed 630G,Omnipod 5,Mobi",Omnipod 5,,,,,,,,,,,,,,,,,Final,,,5/29/2025 5:24pm,,,,,,,,,,,,CHIR_IDrec7Lt5WEYdrxgA8Y-310574-AKInnovation Heal,https://fm.formularynavigator.com/FBO/41/2025_Aetna_Standard_Plan_Innovation_Health.pdf,both Dexcom and FreeStyle,Aetna,CHIR_IDrec7Lt5WEYdrxgA8Y-310574-AKInnovation Heal,both implanted and non-implanted,9,8 - 9,Aetna Standard Plan,Unclear,,,,,Fewer Preferred Devices,,rec7Lt5WEYdrxgA8Y,Innovation Health Standard Plan Pharmacy Drug Guide (Health Plan)_rec7Lt5WEYdrxgA8Y.pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757520000000/IrsZ6ko5ax4IWqc7mrQpHw/XhygCdk7b5O853fGJ3UqEEnTCYKULTtRAq7OvZxT5ppkUOxkSRO00QQ73Z9wcynaeGcnIrKa-oEFFgFFSlivWfNdVF14tn_jBACCr2f0bFHmBcPNoK3DYMNtBhjz4RiCFKzxnjhvgrF7TkLfszx5uAFIfCWTNlSVeh5pKFb7nDMbgAyf9-vlX-uhZqGxK5jnlP30XI5InuyyzYIq7c_FGgAmXGihRla3QjgqF0Lak8zGqiO15EDFOfMLG3UOR8oD/kgLA0b_YhBSAgsGsW2hfzTy90prs3sTIzLasJ3-iMHk),,,,All States
Standard Control Choice Plan with ACSF Drug List (Health Plan),341602,non_duplicate,,Formulary Database,Aetna,,CVS Caremark,Health Plan,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY",51,"Health Plan: [AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY]",Formulary,,https://portal.policyreporter.com/policy-updates/341602,https://portal.policyreporter.com/geturlupdate.php?urlid=%1341602&updateid=%24878611,5/2/2025,,,,,,Unspecified,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Eversense 365,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Eversense E3 rtCGM,Medtronic Guardian 3 rtCGM,Medtronic Guardian 4 rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Implantable rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM,Implantable rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM","Dexcom G6 rtCGM,Dexcom G7 rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM","Minimed 630G,Omnipod 5",Omnipod 5,,,,,,,,,,,,,,,,,Final,,,5/29/2025 5:33pm,,,,,,,,,,,,CHIR_IDrecx5fFJx0Gf2mFCx-341602-AKStandard Contro,https://fm.formularynavigator.com/FBO/41/2025_Standard_Control_Choice_with_ACSF.pdf,both Dexcom and FreeStyle,Aetna,CHIR_IDrecx5fFJx0Gf2mFCx-341602-AKStandard Contro,both implanted and non-implanted,10,10 or More,Standard Control Choice Plan with ACSF Plan,Unclear,,,,,Fewer Preferred Devices,,recx5fFJx0Gf2mFCx,Standard Control Choice Plan with ACSF Drug List (Health Plan)_recx5fFJx0Gf2mFCx.pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757520000000/k7vhyySIL_CNGVGvQcIUOw/t5OlbLEs_IepN-MKhO6aWEpkrgiH08k1Kdgafq5lO10J3WpgAA3NS6iA7AA6DzFUUzQa3p-GkaFWDAVgP41DSiCox79tVSSXoOqEkx7ZwS-orlinPXG0WFKrFBx3e5-utU_GeSPV0p6fWvaIfwqQA3RqMwBQpgVfIqdQ9B3Ft6iwYcdwITRX0Jvl3SB38YI4xPe5S2hAfHd-kSNnZpg0VlvgQzczZbjH6cdR-wVtQ7c/-zsrUn23gUbsJ5IFM4cjUYxVYpGQLSfK-JtkIPx5lcc),,,,All States
Advanced Control Plan Pharmacy Drug Guide (Health Plan),229627,non_duplicate,,Formulary Database,Aetna,,CVS Caremark,Health Plan,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY",51,"Health Plan: [AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY]",Formulary,,https://portal.policyreporter.com/policy-updates/229627,https://portal.policyreporter.com/geturlupdate.php?urlid=%1229627&updateid=%24881547,5/3/2025,,,,,,Unspecified,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Eversense 365,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM,Medtronic Guardian 3 rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Implantable rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM,Transcutaneous rtCGM,Transcutaneous rtCGM","Dexcom G6 rtCGM,Dexcom G7 rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM","Minimed 630G,Omnipod 5,Mobi",Omnipod 5,,,,,,,,,,,,,,,,,Final,,,6/5/2025 3:40pm,,,,,,,,,,,,CHIR_IDrecBQ3c1QzKs20vEI-229627-AKAdvanced Contro,https://fm.formularynavigator.com/FBO/41/2025_Advanced_Control.pdf,both Dexcom and FreeStyle,Aetna,CHIR_IDrecBQ3c1QzKs20vEI-229627-AKAdvanced Contro,both implanted and non-implanted,9,8 - 9,Advanced Control Plan,Unclear,,,,,Fewer Preferred Devices,,recBQ3c1QzKs20vEI,Advanced Control Plan Pharmacy Drug Guide (Health Plan)_recBQ3c1QzKs20vEI.pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757520000000/4PD907DwK5f5qZLg72h_sg/byf7be4NbvTSYYsNOsuW8X8lKypUuwBo5nwy0NLY8CJggelgSbwt9WU0-DFxtQ47zQBOC3WXZ_GfbBriuR5UcO7baVuoBh6tPOpxUPkLUW4Vu47bSKiZOZsCLS03tHU9BuvrT19Vi6FNK_ihYGS3lng7HI-Rr2EyLYYV0BAk3mBL0IFW3wCwgQaT56pDWNoJhA8DeAbxN16jUKIB5VnvqmKwlrWMHhqKRdFIr-3Eq98/Dtmrz5SrL16ep0g4jFqLLRD2WozAzzjSKDt8A0VJOGo),,,,All States
