Payer,States,New Market Segment(s),Total_Covered_Lives,Attributed_Policy_IDs,Attributed_Airtable_UUIDs,Weight_Rank_1_to_5
Cigna,AR,Self Funded/Employer Sponsored,97360,"316783, 286395, 136993, 268516, 136991, 268479, 268488, 198422, 268477, 268489, 136990, 268513, 151892, 136992, 268511, 268502, 198426, 268528, 268503, 268529, 268530, 286394, 268535, 268534, 268533, 290284, 268532, 268518, 316780, 316781, 316782, 316785","CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National , CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P, CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage, CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav, CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan, CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty, CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T, CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S, CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard , CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty, CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan, CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P, CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard , CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage, CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P, CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S, CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T, CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe, CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty, CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan, CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar, CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G, CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven, CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan, CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar, CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic, CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe, CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National , CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National , CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National , CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National , CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ",4
Cigna,AZ,Individual,20712,,,2
Cigna,AZ,Large Group,40155,,,3
Cigna,AZ,Self Funded/Employer Sponsored,352125,"301799, 316783, 315720, 199850, 286395, 136993, 268516, 136991, 268479, 268488, 198422, 268477, 268489, 136990, 268513, 151892, 136992, 268511, 268502, 198426, 268528, 268503, 268529, 268530, 286394, 268535, 268534, 268533, 290284, 268532, 268518, 316780, 316781, 316782, 316785","CHIR_IDrec8XHi8XHpAmgl09-301799-AZOscar and Cigna, CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National , CHIR_IDrec7AIzuLz4CznuBE-315720-AZCigna Premiere , CHIR_IDrec1TkkGpQ2uF6bDK-199850-AZCigna Rx Premie, CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P, CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage, CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav, CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan, CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty, CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T, CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S, CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard , CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty, CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan, CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P, CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard , CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage, CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P, CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S, CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T, CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe, CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty, CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan, CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar, CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G, CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven, CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan, CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar, CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic, CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe, CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National , CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National , CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National , CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National , CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ",5
Cigna,CA,Large Group,107238,,,4
Cigna,CA,Self Funded/Employer Sponsored,887262,"316796, 316797, 316787, 316786, 316788, 301803, 316794, 316783, 316793, 316789, 316792, 268519, 268520, 286395, 268501, 268500, 268497, 268498, 268514, 268515, 268496, 268491, 268493, 268481, 268486, 268492, 268494, 268495, 268483, 268482, 268504, 268505, 268510, 268509, 268507, 268506, 136993, 268516, 136991, 268479, 268485, 268488, 198422, 268477, 268489, 136990, 268513, 151892, 136992, 268511, 268502, 198426, 268528, 268503, 268529, 268530, 286394, 268535, 268517, 268484, 316791, 268534, 268533, 290284, 268532, 268518, 316780, 316781, 316782, 316785","CHIR_IDrecCKd9ou6oLEKtG8-316796-CACigna National , CHIR_IDrec2wHHlTA6YHpzo6-316797-CACigna National , CHIR_IDrecFVf6CGLVgwPnNp-316787-CACigna National , CHIR_IDrecz9PX0eb2hqzpIV-316786-CACigna National , CHIR_IDrecjT083Nk14tOagv-316788-CACigna National , CHIR_IDrecYMNmvk80tSBU2X-301803-CAOscar and Cigna, CHIR_IDreca9XzQkdTf86EUo-316794-CACigna National , CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National , CHIR_IDrecZp60qazvEOCOIe-316793-CACigna National , CHIR_IDrecwKFCq7JLOuT0Bi-316789-CACigna National , CHIR_IDrecusdGJp8vXTL9qw-316792-CACigna National , CHIR_IDrec3JRUHq6kAMUXBe-268519-CACigna National , CHIR_IDrecx3sTGQuwDRV5AK-268520-CACigna National , CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P, CHIR_IDrectHaioBXOsI6cqX-268501-CACigna Advantage, CHIR_IDreco8dzvWMiavZF7e-268500-CACigna Advantage, CHIR_IDrec5boxnyE0YH8kjB-268497-CACigna Performan, CHIR_IDrecsyKu9FxwVFcOyd-268498-CACigna Performan, CHIR_IDrecLf3fWd431A9nHM-268514-CACigna Legacy (P, CHIR_IDrecYVBm9MdEPWXQeU-268515-CACigna Legacy (P, CHIR_IDrecnYvV4HVyFnTJWs-268496-CACigna Specialty, CHIR_IDrecsV0fdNb8FvaEPw-268491-CACigna Value 3-T, CHIR_IDrecOujHsueib5cDzA-268493-CACigna Value 4-T, CHIR_IDrecmnXCnXMOZRdmLV-268481-CACigna Standard , CHIR_IDreczN89f6WNs77hqx-268486-CACigna Specialty, CHIR_IDrecsVOQur4ZI5L2A9-268492-CACigna Value 3-T, CHIR_IDrecIfPO3U7ZvTTZCs-268494-CACigna Value 4-T, CHIR_IDrecsPx1FO1IQwUgn1-268495-CACigna Specialty, CHIR_IDrecLamNQ2VlIRIz2r-268483-CACigna Standard , CHIR_IDrecynhegPVjTmxsw5-268482-CACigna Standard , CHIR_IDrec4Qr94xDlYrbRga-268504-CACigna Legacy (S, CHIR_IDrecF2s1rGKZjNLRgl-268505-CACigna Legacy (S, CHIR_IDrecBE4b7RoZccHPkC-268510-CACigna Specialty, CHIR_IDrecRiX2gUWorPfloW-268509-CACigna Specialty, CHIR_IDrecdXPtGEJHO8qAel-268507-CACigna Legacy (S, CHIR_IDrecIVRi7gup9Oe04p-268506-CACigna Legacy (S, CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage, CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav, CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan, CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty, CHIR_IDrec2htHm6fFJXcnVe-268485-CACigna Specialty, CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T, CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S, CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard , CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty, CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan, CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P, CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard , CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage, CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P, CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S, CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T, CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe, CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty, CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan, CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar, CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G, CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven, CHIR_IDrec71qAIVXcOAfMpZ-268517-CACigna Total Sav, CHIR_IDreck4PQrMrU1HNgAH-268484-CACigna Standard , CHIR_IDrechaSNIScHw2dU0W-316791-CACigna National , CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan, CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar, CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic, CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe, CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National , CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National , CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National , CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National , CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ",5
Cigna,CO,Individual,18608,,,2
Cigna,CO,Large Group,39794,,,3
Cigna,CO,Self Funded/Employer Sponsored,563495,"316783, 199851, 286395, 136993, 268516, 136991, 268479, 268488, 198422, 268477, 268489, 136990, 268513, 151892, 136992, 268511, 268502, 198426, 268528, 268503, 268529, 268530, 286394, 268535, 268534, 268533, 290284, 268532, 268518, 316780, 316781, 316782, 316785","CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National , CHIR_IDrecu6kCoiBjWI3ilg-199851-COCigna Rx Essent, CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P, CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage, CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav, CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan, CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty, CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T, CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S, CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard , CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty, CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan, CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P, CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard , CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage, CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P, CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S, CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T, CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe, CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty, CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan, CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar, CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G, CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven, CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan, CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar, CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic, CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe, CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National , CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National , CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National , CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National , CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ",5
Cigna,CT,Large Group,45158,,,3
Cigna,CT,Self Funded/Employer Sponsored,352200,"301806, 316783, 286395, 136993, 268516, 136991, 268479, 268488, 198422, 268477, 268489, 136990, 268513, 151892, 136992, 268511, 268502, 198426, 268528, 268503, 268529, 268530, 286394, 268535, 268534, 268533, 290284, 268532, 268518, 316780, 316781, 316782, 316785","CHIR_IDrecavtiNO8tA0sADe-301806-CTOscar and Cigna, CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National , CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P, CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage, CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav, CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan, CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty, CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T, CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S, CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard , CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty, CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan, CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P, CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard , CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage, CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P, CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S, CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T, CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe, CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty, CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan, CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar, CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G, CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven, CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan, CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar, CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic, CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe, CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National , CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National , CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National , CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National , CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ",5
Cigna,DC,Large Group,32160,,,2
Cigna,DC,Self Funded/Employer Sponsored,35242,"316783, 286395, 136993, 268516, 136991, 268479, 268488, 198422, 268477, 268489, 136990, 268513, 151892, 136992, 268511, 268502, 198426, 268528, 268503, 268529, 268530, 286394, 268535, 268534, 268533, 290284, 268532, 268518, 316780, 316781, 316782, 316785","CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National , CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P, CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage, CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav, CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan, CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty, CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T, CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S, CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard , CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty, CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan, CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P, CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard , CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage, CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P, CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S, CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T, CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe, CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty, CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan, CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar, CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G, CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven, CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan, CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar, CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic, CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe, CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National , CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National , CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National , CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National , CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ",2
Cigna,DE,Large Group,161762,,,4
Cigna,DE,Self Funded/Employer Sponsored,46945,"316783, 286395, 136993, 268516, 136991, 268479, 268488, 198422, 268477, 268489, 136990, 268513, 151892, 136992, 268511, 268502, 198426, 268528, 268503, 268529, 268530, 286394, 268535, 268534, 268533, 290284, 268532, 268518, 316780, 316781, 316782, 316785","CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National , CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P, CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage, CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav, CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan, CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty, CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T, CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S, CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard , CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty, CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan, CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P, CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard , CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage, CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P, CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S, CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T, CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe, CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty, CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan, CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar, CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G, CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven, CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan, CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar, CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic, CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe, CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National , CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National , CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National , CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National , CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ",3
Cigna,FL,Individual,48332,,,3
Cigna,FL,Large Group,91368,,,3
Cigna,FL,Self Funded/Employer Sponsored,1174017,"316783, 199852, 315721, 286395, 136993, 268516, 136991, 268479, 268488, 198422, 268477, 268489, 136990, 268513, 151892, 136992, 268511, 268502, 198426, 268528, 268503, 268529, 268530, 286394, 268535, 268534, 268533, 290284, 268532, 268518, 316780, 316781, 316782, 316785","CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National , CHIR_IDrecSGoB9fMDWK7rxb-199852-FLCigna Rx Plus 5, CHIR_IDrecd4qtuaL8eFOiQO-315721-FLCigna Plus 4-Ti, CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P, CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage, CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav, CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan, CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty, CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T, CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S, CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard , CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty, CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan, CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P, CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard , CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage, CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P, CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S, CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T, CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe, CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty, CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan, CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar, CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G, CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven, CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan, CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar, CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic, CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe, CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National , CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National , CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National , CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National , CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ",5
Cigna,GA,Individual,22043,,,2
Cigna,GA,Large Group,45952,,,3
Cigna,GA,Self Funded/Employer Sponsored,586917,"301923, 316783, 290261, 286395, 136993, 268516, 136991, 268479, 268488, 198422, 268477, 268489, 136990, 268513, 151892, 136992, 268511, 268502, 198426, 268528, 268503, 268529, 268530, 286394, 268535, 268534, 268533, 290284, 268532, 268518, 316780, 316781, 316782, 316785","CHIR_IDrecXKPcpVxGYyghZt-301923-GAOscar and Cigna, CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National , CHIR_IDrecHyYRqsK42c4Ufu-290261-GACigna Plus 5-Ti, CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P, CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage, CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav, CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan, CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty, CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T, CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S, CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard , CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty, CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan, CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P, CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard , CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage, CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P, CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S, CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T, CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe, CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty, CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan, CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar, CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G, CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven, CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan, CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar, CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic, CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe, CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National , CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National , CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National , CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National , CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ",5
