Payer,States,New Market Segment(s),Total_Covered_Lives,Attributed_Policy_IDs,Attributed_Airtable_UUIDs,Weight_Rank_1_to_5
Aetna,NM,Self Funded/Employer Sponsored,25518,290099,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,2
Aetna,NV,Individual,7299,,,1
Aetna,NV,Large Group,21180,,,2
Aetna,NV,Self Funded/Employer Sponsored,122894,290099,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,4
Aetna,NV,Small Group,2034,,,1
Aetna,NY,Large Group,968770,,,5
Aetna,NY,Self Funded/Employer Sponsored,985870,290099,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,5
Aetna,OH,Individual,24147,,,2
Aetna,OH,Large Group,22193,,,2
Aetna,OH,Self Funded/Employer Sponsored,533018,290099,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,5
Aetna,OH,Small Group,336,,,1
Aetna,OK,Large Group,150,,,1
Aetna,OK,Self Funded/Employer Sponsored,185349,290099,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,4
Aetna,OR,Large Group,50035,,,3
Aetna,OR,Self Funded/Employer Sponsored,259277,290099,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,4
Aetna,OR,Small Group,44,,,1
Aetna,PA,Large Group,45597,,,3
Aetna,PA,Self Funded/Employer Sponsored,876274,290099,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,5
Aetna,PA,Small Group,96429,,,4
Aetna,RI,Self Funded/Employer Sponsored,19441,290099,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,2
Aetna,SC,Self Funded/Employer Sponsored,104383,290099,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,4
Aetna,SC,Small Group,64,,,1
Aetna,SD,Large Group,1579,,,1
Aetna,SD,Self Funded/Employer Sponsored,14332,290099,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,2
Aetna,SD,Small Group,3698,,,1
Aetna,TN,Self Funded/Employer Sponsored,244706,290099,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,4
Aetna,TX,Individual,625877,,,5
Aetna,TX,Large Group,133054,,,4
Aetna,TX,Self Funded/Employer Sponsored,2445489,290099,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,5
Aetna,TX,Small Group,67398,,,3
Aetna,UT,Individual,85723,,,3
Aetna,UT,Large Group,126642,,,4
Aetna,UT,Self Funded/Employer Sponsored,161219,290099,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,4
Aetna,UT,Small Group,59873,,,3
Aetna,VA,Individual,30290,,,2
Aetna,VA,Large Group,41412,,,3
Aetna,VA,Self Funded/Employer Sponsored,597181,290099,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,5
Aetna,VA,Small Group,28146,,,2
Aetna,VT,Self Funded/Employer Sponsored,15696,290099,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,2
Aetna,WA,Large Group,333394,,,5
Aetna,WA,Self Funded/Employer Sponsored,318833,290099,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,5
Aetna,WA,Small Group,172304,,,4
Aetna,WI,Self Funded/Employer Sponsored,144841,290099,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,4
Aetna,WV,Self Funded/Employer Sponsored,91412,290099,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,3
Aetna,WY,Self Funded/Employer Sponsored,15250,290099,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,2
Anthem,CA,Individual,263556,,,4
Anthem,CA,Large Group,1035330,,,5
Anthem,CA,Self Funded/Employer Sponsored,2718462,,,5
Anthem,CA,Small Group,573455,,,5
Anthem,CO,Individual,91277,,,3
Anthem,CO,Large Group,91263,,,3
Anthem,CO,Self Funded/Employer Sponsored,818620,,,5
Anthem,CO,Small Group,27901,,,2
Anthem,CT,Individual,70638,,,3
Anthem,CT,Large Group,37792,,,2
Anthem,CT,Self Funded/Employer Sponsored,953031,,,5
Anthem,CT,Small Group,50692,,,3
Anthem,GA,Individual,61740,,,3
Anthem,GA,Large Group,120431,,,4
Anthem,GA,Self Funded/Employer Sponsored,1403991,,,5
Anthem,GA,Small Group,98652,,,4
Anthem,IN,Individual,103108,,,4
Anthem,IN,Large Group,132292,,,4
Anthem,IN,Self Funded/Employer Sponsored,5206433,,,5
Anthem,IN,Small Group,57018,,,3
Anthem,KY,Individual,53251,,,3
Anthem,KY,Large Group,146384,,,4
Anthem,KY,Self Funded/Employer Sponsored,310543,,,4
Anthem,KY,Small Group,80110,,,3
Anthem,LA,Individual,21442,,,2
Anthem,MA,Large Group,20930,,,2
Anthem,MA,Self Funded/Employer Sponsored,314997,,,4
Anthem,MA,Small Group,3955,,,1
Anthem,ME,Individual,28854,,,2
Anthem,ME,Large Group,80530,,,3
Anthem,ME,Self Funded/Employer Sponsored,467650,,,5
Anthem,ME,Small Group,11703,,,2
Anthem,MO,Individual,136849,,,4
Anthem,MO,Large Group,100191,,,4
Anthem,MO,Self Funded/Employer Sponsored,447625,,,5
Anthem,MO,Small Group,57891,,,3
Anthem,NH,Individual,55431,,,3
Anthem,NH,Large Group,82903,,,3
Anthem,NH,Self Funded/Employer Sponsored,113527,,,4
Anthem,NH,Small Group,1580,,,1
Anthem,NV,Individual,20680,,,2
Anthem,NV,Large Group,44674,,,3
Anthem,NV,Self Funded/Employer Sponsored,21319,,,2
Anthem,NV,Small Group,21032,,,2
Anthem,NY,Large Group,209984,,,4
Anthem,NY,Self Funded/Employer Sponsored,1330036,,,5
Anthem,NY,Small Group,6427,,,1
Anthem,OH,Individual,103621,,,4
Anthem,OH,Large Group,63851,,,3
Anthem,OH,Self Funded/Employer Sponsored,2726725,,,5
Anthem,OH,Small Group,220799,,,4
Anthem,OR,Large Group,152,,,1
Anthem,OR,Self Funded/Employer Sponsored,10703,,,1
Anthem,VA,Individual,178928,,,4
Anthem,VA,Large Group,190516,,,4
Anthem,VA,Self Funded/Employer Sponsored,3067310,,,5
Anthem,VA,Small Group,61965,,,3
Anthem,WI,Individual,76278,,,3
Anthem,WI,Large Group,48186,,,3
Anthem,WI,Self Funded/Employer Sponsored,618623,,,5
Anthem,WI,Small Group,54794,,,3
Blue Shield California,CA,Individual,702999,,,5
Blue Shield California,CA,Large Group,909568,,,5
Blue Shield California,CA,Self Funded/Employer Sponsored,1219824,198183,CHIR_IDrecthjnRCE5vRUEYp-198183-AKValue Drug Form,5
Blue Shield California,CA,Small Group,399545,,,5
Cigna,AK,Self Funded/Employer Sponsored,16398,"316783, 286395, 136993, 268516, 136991, 268479, 268488, 198422, 268477, 268489, 136990, 268513, 151892, 136992, 268511, 268502, 198426, 268528, 268503, 268529, 268530, 286394, 268535, 268534, 268533, 290284, 268532, 268518, 316780, 316781, 316782, 316785","CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National , CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P, CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage, CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav, CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan, CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty, CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T, CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S, CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard , CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty, CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan, CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P, CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard , CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage, CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P, CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S, CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T, CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe, CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty, CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan, CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar, CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G, CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven, CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan, CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar, CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic, CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe, CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National , CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National , CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National , CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National , CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ",2
Cigna,AL,Self Funded/Employer Sponsored,102118,"316783, 286395, 136993, 268516, 136991, 268479, 268488, 198422, 268477, 268489, 136990, 268513, 151892, 136992, 268511, 268502, 198426, 268528, 268503, 268529, 268530, 286394, 268535, 268534, 268533, 290284, 268532, 268518, 316780, 316781, 316782, 316785","CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National , CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P, CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage, CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav, CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan, CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty, CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T, CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S, CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard , CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty, CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan, CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P, CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard , CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage, CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P, CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S, CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T, CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe, CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty, CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan, CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar, CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G, CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven, CHIR_IDrecy6gS3Y8oF9iVFd-268534-AKValue and Advan, CHIR_IDreceaPYwYqvhwfdbY-268533-AKLegacy (Standar, CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic, CHIR_IDrecz2TOibqNJzGEDX-268532-AKStandard and Pe, CHIR_IDrecRDqVEDerLMP7jF-268518-AKCigna National , CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National , CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National , CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National , CHIR_IDrecb56e5cJCQ6Hmf5-316785-AKCigna National ",4
